2019/05/21, 151472.36743446396
2019/05/24, 147665.44098562596
2019/05/28, 144262.68305113187
2019/06/02, 141438.50837297412
2019/06/06, 139542.08311813514
2019/06/11, 137965.04700902879
2019/06/15, 134958.36424759525
2019/06/19, 131180.37117011152
2019/06/23, 127583.78289161989
2019/06/27, 123465.8020511411
2019/06/30, 118898.25506391528
2019/07/05, 117336.42796174859
2019/07/09, 116854.44035229713
2019/07/14, 116250.78068732846
2019/07/18, 115738.37506399768
2019/07/23, 115317.2234823048
2019/07/28, 114865.65388673265
2019/08/01, 113684.05195805723
2019/08/06, 112502.45002938183
2019/08/10, 112446.31461424059
2019/08/15, 112329.34317134072
2019/08/19, 111938.60960352718
2019/08/24, 110939.51575812757
2019/08/28, 110001.25794048657
2019/09/02, 109184.67217836279
2019/09/06, 108672.26655503201
2019/09/11, 107262.52952226183
2019/09/15, 104407.93683022482
2019/09/20, 103789.06815831647
2019/09/24, 103793.76877093384
2019/09/29, 103798.4693835512
2019/10/03, 103803.16999616857
2019/10/08, 103807.87060878593
2019/10/13, 103812.5712214033
2019/10/17, 103817.27183402066
2019/10/22, 103669.88237724152
2019/10/26, 103066.22271227284
2019/10/31, 101854.20276971812
2019/11/04, 100611.76481328411
2019/11/09, 100494.79337038426
2019/11/13, 100499.49398300162
2019/11/18, 100504.19459561899
2019/11/22, 100508.89520823635
2019/11/27, 100513.5958208537
2019/12/01, 100518.29643347107
2019/12/06, 100310.07094893332
2019/12/10, 100162.68149215418
2019/12/15, 99863.20196597853
2019/12/20, 99867.9025785959
2019/12/24, 99872.60319121326
2019/12/29, 99877.30380383063
2020/01/02, 99882.00441644798
2020/01/07, 99886.70502906534
2020/01/11, 99891.40564168271
2020/01/16, 100017.77830981728
2020/01/20, 100235.40501958976
2020/01/25, 99966.34350729341
2020/01/29, 98723.9055508594
2020/02/03, 96751.43526132211
2020/02/07, 95934.84949919833
2020/02/12, 95392.02586198825
2020/02/16, 94970.8742802954
2020/02/21, 94914.73886515416
2020/02/23, 94917.30283567272
