"oem","model","network_technology","network_2g_bands","network_3g_bands","network_4g_bands","network_5g_bands","network_speed","launch_announced","launch_status","body_dimensions","body_weight","body_sim","display_type","display_size","display_resolution","platform_os","platform_chipset","platform_cpu","platform_gpu","memory_card_slot","memory_internal","main_camera_quad","main_camera_features","main_camera_video","selfie_camera_single","selfie_camera_features","selfie_camera_video","sound_loudspeaker","sound_3.5mm_jack","comms_wlan","comms_bluetooth","comms_gps","comms_nfc","comms_radio","comms_usb","features_sensors","battery_�","battery_charging","misc_colors","misc_price","network_�","body_build","display_protection","display_�","memory_�","misc_models","main_camera_single","misc_sar_eu","misc_sar","main_camera_triple","tests_performance","tests_display","tests_camera","tests_loudspeaker","tests_audio_quality","tests_battery_life","body_�","selfie_camera_�","features_�","battery_stand-by","network_gprs","network_edge","memory_phonebook","memory_call_records","features_messaging","features_games","features_java","battery_talk_time","camera_�","main_camera_five","sound_�","main_camera_dual","battery_music_play","body_keyboard","features_browser","comms_infrared_port","sound_alert_types","features_languages","features_clock","features_alarm"
"Nokia","3230","GSM","GSM 900 / 1800 / 1900",,,,,"2004, Q4","Discontinued","109 x 49 x 19 mm, 90 cc (4.29 x 1.93 x 0.75 in)","110 g (3.88 oz)","Mini-SIM","TFT, 65K colors","2.1 inches, 35 x 41 mm, 14.0 cm (~26.3% screen-to-body ratio)","176 x 208 pixels (~130 ppi density)","Symbian 7.0s, Series 60 SE UI","TI OMAP 1510","123 MHz ARM925T",,"RS-MMC, 32 MB included","6MB",,,"QCIF",,,,"Yes","No","No","1.1","No",,"Stereo FM radio","Pop-Port","V1","Removable Li-Ion 760 mAh battery (BL-5B)",,"Black, Red","About 100 EUR",,,,"5-way navi key  Downloadable screensavers,   wallpapers","Up to 60 min video clips",,"1.23 MP","0.41 W/kg (head)   �","0.81 W/kg (head)     0.23 W/kg (body)   �",,,,,,,,,"No","Push to Talk  Mono MP3 player  Predictive text input  Organizer  Voice dial/memo","Up to 150 h","Class 10","Yes, 118.4 kbps",,,,,,"Up to 4 h",,,,,,,"WAP 2.0/xHTML, HTML","Yes","Vibration; Downloadable polyphonic, MP3 ringtones",,,
"Nokia","6670","GSM","GSM 900 / 1800 / 1900",,,,,"2004, Q3","Discontinued","108.6 x 53 x 20.9 mm, 98 cc (4.28 x 2.09 x 0.82 in)","120 g (4.23 oz)","Mini-SIM","TFT, 65K colors","2.1 inches, 35 x 41 mm, 14.0 cm (~24.4% screen-to-body ratio)","176 x 208 pixels (~130 ppi density)","Symbian 7.0s, Series 60 v2.0 UI","TI OMAP 1510","123 MHz ARM925T",,"RS-DV-MMC, 64 MB included","8MB",,,"QCIF",,,,"Yes","No","No","1.1","No",,"No","Pop-Port","V1","Removable Li-Ion 900 mAh battery (BL-5C)",,"Deep Blue, Aluminum Grey",,"GSM 850 / 1800 / 1900 - US version",,,"5-way navi key  Downloadable themes","10 min video clips",,"1 MP","0.52 W/kg (head)   �","0.73 W/kg (head)     0.60 W/kg (body)   �",,,,,,,,,"No","MP3/AAC/MP4 player  Predictive text input  Organizer  Voice command/memo","Up to 240 h","Class 6","No",,,,,,"Up to 4 h",,,,,,,"WAP 2.0/xHTML, HTML with .pdf support",,"Vibration; Downloadable polyphonic, monophonic, MP3 ringtones",,,
"Nokia","7280","GSM","GSM 900 / 1800 / 1900",,,,,"2004, Q3","Discontinued","115 x 32 x 19 mm, 64 cc (4.53 x 1.26 x 0.75 in)","84 g (2.96 oz)","Mini-SIM","TFT, 65K colors",,"208 x 104 pixels, 18:9 ratio",,,,,"No","50MB",,,"No",,,,"Yes","No","No","1.1","No",,"Stereo FM radio",,"V1","Removable Li-Ion 700 mAh battery (BL-8N)",,"Black",,,,,"Downloadable themes","70 voice commands  3 min voice memo",,"VGA","0.83 W/kg (head)   �","0.71 W/kg (head)     0.75 W/kg (body)   �",,,,,,,,,"No","SyncML  Organizer  Voice command  Voice memo","Up to 240 h","Class 10","Class 8","1000 x 10 fields, Photo call","10 dialed, 10 received, 10 missed calls","SMS, MMS","No","No","Up to 3 h",,,,,,,"WAP 2.0/xHTML","Yes","Vibration; Downloadable polyphonic, MP3/AAC ringtones",,,
"Nokia","7270","GSM","GSM 900 / 1800 / 1900",,,,,"2004, Q3","Discontinued","88 x 46 x 22 mm, 78 cc (3.46 x 1.81 x 0.87 in)","121 g (4.27 oz)","Mini-SIM","TFT, 65K colors","2.0 inches, 31 x 39 mm, 12.6 cm (~31.1% screen-to-body ratio)","128 x 160 pixels,  6 lines (~102 ppi density)",,,,,"No","32MB",,,"Yes",,,,"Yes","No","No","No","No",,"Stereo FM radio","Pop-Port","V1","Removable Li-Ion 780 mAh battery (BL-4C)",,"V1",,,,,"Second external 4096 colors display (96 x 65 pixels)",,,"VGA","0.59 W/kg (head)   �","1.05 W/kg (head)     0.61 W/kg (body)   �",,,,,,,,,"No","Push to talk (VoIP service)  SyncML  Voice memo/dial  Predictive text input  Organizer  Presence enhanced contacts  Changeable textile covers","Up to 270 h","Class 10","Class 10","255 x 10 fields, Photo call","10 dialed, 10 received, 10 missed calls","SMS, MMS, EMail, Instant Messaging","2 - Chic Pinball and Disco + downloadable","Yes, MIDP 2.0","Up to 4 h",,,,,,,"WAP 2.0/xHTML","Yes","Vibration; Downloadable polyphonic, monophonic, MP3/AAC ringtones",,,
"Nokia","7260","GSM","GSM 900 / 1800 / 1900",,,,,"2004, Q3","Discontinued","105 x 45 x 18 mm, 72 cc (4.13 x 1.77 x 0.71 in)","92 g (3.25 oz)","Mini-SIM","TFT, 65K colors","1.6 inches, 8.3 cm (~17.5% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~113 ppi density)",,,,,"No",,,,"Yes",,,,"No","No","No","No","No",,"Stereo FM radio","Pop-Port","V1","Removable Li-Ion 760 mAh battery (BL-5B)",,"V1",,,,,"5-way navigation joystick  Downloadable themes",,,"VGA","0.51 W/kg (head)   �","0.80 W/kg (head)     0.77 W/kg (body)   �",,,,,,,,,"No","Voice memo/dial  Predictive text input  Organizer  Presence enhanced contacts","Up to 350 h","Yes","No","500 x 10 fields, Photo call","10 dialed, 10 received, 10 missed calls","SMS, MMS, EMail, Instant Messaging","2 - Glamour Pinball and Backgammon + downloadable","Yes","Up to 3 h",,,,,,,"WAP 2.0/xHTML","Yes","Vibration; Downloadable polyphonic ringtones",,,
"Nokia","9300","GSM","GSM 900 / 1800 / 1900",,,,,"2004, Q3","Discontinued","132 x 51 x 21 mm, 126 cc (5.20 x 2.01 x 0.83 in)","167 g (5.89 oz)","Mini-SIM","TFT, 65K colors","4.0 inches, 98 x 30 mm, 29.4 cm (~43.7% screen-to-body ratio)","640 x 200 pixels (~168 ppi density)","Symbian 7.0s, Series 80 v2.0 UI","TI OMAP 1510","150 MHz ARM925T",,"MMC","80MB",,,,,,,"Yes","No","No","1.1","No",,"No","Pop-Port","V1","Removable Li-Po 970 mAh battery (BP-6M)",,"V1",,"GSM 850 / 1800 / 1900 - US version",,,"Second LCD (128 x 128 pixels) with 65K color  5-way navigation key",,,,"0.24 W/kg (head)   �","0.21 W/kg (head)     0.52 W/kg (body)   �",,,,,,,,,,"Music player MP3, MP4(AAC), RA, MIDI  Document viewer (Word, Excel, PowerPoint, PDF)  Organizer","Up to 200 h","Class 10","Class 10",,,,,,"Up to 4 h","No",,,,,"QWERTY","WAP/xHTML, Opera HTML browser","Yes","Downloadable polyphonic, MP3 ringtones",,,
"Nokia","6630","GSM / UMTS","GSM 900 / 1800 / 1900","UMTS 2100",,,"Yes, 384 kbps","2004, Q2","Discontinued","110 x 60 x 21 mm (4.33 x 2.36 x 0.83 in)","127 g (4.48 oz)","Mini-SIM","TFT, 65k colors","2.1 inches, 35 x 41 mm, 14.0 cm (~21.3% screen-to-body ratio)","176 x 208 pixels (~130 ppi density)","Symbian 8.0, Series 60 v2.0 UI","TI OMAP 1710","220 MHz ARM926EJ-S",,"RS-DV-MMC, 64 MB included","10MB",,,"Yes",,,,"Yes","No","No","1.2","No",,"No","Pop-Port","V1","Removable Li-Ion 900 mAh battery (BL-5C)",,"Light Gray",,,,,"5-way navigation key  Downloadable themes","Voice dial/memo",,"1.3 MP","0.83 W/kg (head)   �","0.55 W/kg (head)     0.58 W/kg (body)   �",,,,,,,,,"No","MP3, AAC, MP4 player  Predictive text input  SyncML","Up to 264 h",,,,,,,,"Up to 3 h",,,,,,,"WAP 2.0/xHTML, HTML",,"Vibration; Downloadable polyphonic, monophonic, MP3 ringtones","Major Europe and Asia-Pacific",,
"Nokia","6260","GSM","GSM 900 / 1800 / 1900",,,,,"2004, Q2","Discontinued","102 x 49 x 23 mm, 109 cc (4.02 x 1.93 x 0.91 in)","125 g (4.41 oz)","Mini-SIM","TFT, 65K colors","2.1 inches, 35 x 41 mm, 14.0 cm (~28.1% screen-to-body ratio)","176 x 208 pixels (~130 ppi density)","Symbian 7.0s, Series 60 v2.0 UI","TI OMAP 1510","123 MHz ARM925T",,"RS-MMC, 32 MB included","6MB",,,"Yes",,,,"Yes","No","No","1.1","No",,"FM radio","Proprietary","V1","Removable Li-Ion 760 mAh battery (BL-4C)",,"2 - Silver, Black",,"GSM 850 / 1800 / 1900 - US version",,,"Screen rotates in 4 positions  5-way navigation","3.5 MB available",,"VGA","0.72 W/kg (head)   �","0.77 W/kg (head)     0.57 W/kg (body)   �",,,,,,,,,"No","Push-to-talk service  Mono MP3 player  Document viewer (Word, Excel, PowerPoint, PDF)  Voice commands  Voice memo  Presence enhanced contacts","Up to 144 h","Class 6","No",,,,,,"Up to 4 h",,,,,,,"WAP 2.0/xHTML, HTML","Yes","Vibration; Downloadable polyphonic, MP3 ringtones","Major European and Asia-Pacific languages",,
"Nokia","6170","GSM","GSM 900 / 1800 / 1900",,,,,"2004, Q3","Discontinued","88 x 46 x 22 mm, 79 cc (3.46 x 1.81 x 0.87 in)","121 g (4.27 oz)","Mini-SIM","TFT, 65k colors","2.0 inches, 31 x 39 mm, 12.6 cm (~31.1% screen-to-body ratio)","128 x 160 pixels (~102 ppi density)",,,,,"No","2.2MB",,,"Yes",,,,"Yes","No","No","No","No",,"No","Pop-Port","V1","Removable Li-Ion 760 mAh battery (BL-4C)",,"Silver",,"GSM 850 / 1800 / 1900 - US version",,,"Second external display 4096 colors (96 x 65 pixels)  5-way navi key  Downloadable themes",,,"VGA","0.61 W/kg (head)   �","1.12 W/kg (head)     1.09 W/kg (body)   �",,,,,,,,,"No","Push-to-talk service  SyncML  Voice dial  Presence enhanced contacts  Organizer  Predictive text input","Up to 270 h","Class 10","Class 10","500 entries, Photo call","Yes","SMS, MMS, Email, Instant Messaging","Yes, downloadable","Yes, MIDP 2.0","Up to 4 h",,,,,,,"WAP 2.0/xHTML","Yes","Vibration; Downloadable polyphonic, monophonic, MP3 ringtones","Major European and Asia-Pacific languages",,
"Nokia","3128","GSM","GSM 900 / 1800 / 1900",,,,,"2004, Q4","Discontinued","79.9 x 41.6 x 20.8 mm (3.15 x 1.64 x 0.82 in)","80 g (2.82 oz)","Mini-SIM","65K colors",,"128 x 160 pixels",,,,,"No","1.3MB",,,,,,,"No","No","No","No","No",,"Stereo FM radio, RDS",,"V1","Removable Li-Ion 720 mAh battery",,"Gold, Red, Blue",,,,,"Second external display  (96 x 64 pixels), 4096 colors  Wallpaper and animated screensavers  Downloadable screensavers","1000 short messagies",,,"1.14 W/kg (head)   �","1.34 W/kg (head)     0.83 W/kg (body)   �",,,,,,,,,,"Predictive text input  Chinese-English dictionary (20 000 words)   Organizer  Stopwatch","Up to 200 h","Class 10","No","500 entries","10 dialed, 10 received, 10 missed calls","SMS, MMS","Yes + downloadable","No","Up to 4 h","No",,,,,,"WAP, xHTML",,"Vibration; Downloadable polyphonic ringtones",,,
