"oem","model","network_technology","network_2g_bands","network_3g_bands","network_4g_bands","network_speed","launch_announced","launch_status","body_dimensions","body_weight","body_build","body_sim","display_type","display_size","display_resolution","platform_os","platform_chipset","platform_cpu","platform_gpu","memory_card_slot","memory_internal","memory_�","main_camera_single","main_camera_features","main_camera_video","selfie_camera_single","selfie_camera_video","sound_loudspeaker","sound_3.5mm_jack","comms_wlan","comms_bluetooth","comms_gps","comms_radio","comms_usb","features_sensors","battery_�","misc_colors","misc_models","misc_sar","misc_price","network_�","network_5g_bands","display_protection","main_camera_quad","selfie_camera_features","comms_nfc","features_�","battery_charging","main_camera_triple","body_�","sound_�","misc_sar_eu","display_�","selfie_camera_dual","tests_performance","tests_display","tests_camera","tests_loudspeaker","tests_battery_life","main_camera_dual","tests_audio_quality","camera_�","network_gprs","network_edge","main_camera_�","selfie_camera_triple","battery_stand-by","battery_talk_time","battery_music_play","comms_infrared_port","selfie_camera_�","memory_phonebook","memory_call_records","features_messaging","features_games","features_java","body_keyboard","features_browser","sound_alert_types","features_clock","features_alarm","features_languages"
"Samsung","Galaxy J3 (2016)","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","HSDPA 850 / 900 / 1900 / 2100","1, 3, 5, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, November","Available. Released 2016, January","142.3 x 71 x 7.9 mm (5.60 x 2.80 x 0.31 in)","138 g (4.87 oz)","Glass front (Asahi Dragontrail), plastic back, plastic frame","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)Nano-SIM (USA models only)","Super AMOLED capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Android 5.1.1 (Lollipop) or Android 6.0 (Marshmallow), upgradable to 7.1.1 (Nougat)","Spreadtrum SC9830Exynos 3475 Quad (28 nm) - USA","Quad-core 1.5 GHz Cortex-A7Quad-core 1.3 GHz Cortex-A7 - USA","Mali-400Mali-T720 - USA","microSDXC (dedicated slot)","8GB 1.5GB RAM, 16GB 2GB RAM","eMMC 4.5","8 MP, f/2.2, AF  5 MP, f/2.2, AF - USA","LED flash, HDR","720p@30fps","2 MP (USA)  5 MP, f/2.2 (all other regions)","720p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0/4.1, A2DP, LE","Yes, with A-GPS, GLONASS","FM radio, RDS, recording (market dependent)","microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Removable Li-Ion 2600 mAh battery","White, Black, Gold","SM-J320H, SM-J3109, SM-J320FN, SM-J320P, SM-J320F, SM-J320M, SM-J320Y, SM-J320A, SM-J320G, SM-J327T1, SM-J320V, SM-J320YZ, SM-J320W8, SM-J320ZN, SM-J320N0","1.17 W/kg (head)     1.12 W/kg (body)   �","About 120 EUR",,,"Asahi Dragontrail Glass",,,"Yes (market dependent)",,,,,,"0.48 W/kg (head)     0.42 W/kg (body)   �",,,"Basemark OS II 2.0: 326Basemark X: 1424","Contrast ratio: Infinite (nominal), 3.523 (sunlight)","Photo / Video","Voice 64dB / Noise 65dB / Ring 68dB","Endurance rating 66h",,"Noise -92.4dB / Crosstalk -91.3dB",,,,,,"Up to 349 h","Up to 22 h","Up to 77 h",,,,,,,,,,,,,
"Samsung","Galaxy View","HSPA / LTE","N/A","HSDPA 900 / 2100 - T677","1, 3, 5, 7, 8, 20 - T677","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps","2015, October","Available. Released 2015, November","451.8 x 275.8 x 11.9 mm (17.79 x 10.86 x 0.47 in)","2.65 kg (5.84 lb)",,"Nano-SIM","TFT capacitive touchscreen, 16M colors","18.4 inches, 933.3 cm (~74.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~120 ppi density)","Android 5.1.1 (Lollipop)","Exynos 7580 Octa (28 nm)","Octa-core 1.6 GHz Cortex-A53","Mali-T720MP2","microSDXC (dedicated slot)","32GB 2GB RAM, 64GB 2GB RAM","eMMC 5.0",,,,"2.1 MP, f/2.2","1080p@30fps","Yes, with stereo speakers","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS","No","microUSB 2.0","Accelerometer","Non-removable Li-Po 5700 mAh battery (64 Wh, 11.3V)","Black, White","SM-T670, SM-T810, SM-T677A, SM-T677, SM-T677Y","1.09 W/kg (body)   �","About 500 EUR","2, 4, 5, 12, 17, 29, 30 - T677A",,,,,,,,,"Built-in kickstand",,"0.46 W/kg (body)   �",,,,,,,,,,,,,"No",,,"Up to 8 h (multimedia)","Up to 299 h",,,,,,,,,,,,,
"Samsung","Galaxy On7","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 1900 / 2100 - G600FY","1, 3, 5, 7, 8, 20, 40 - G600FY","HSPA, LTE Cat4 150/50 Mbps","2015, October","Available. Released 2015, November","151.8 x 77.5 x 8.2 mm (5.98 x 3.05 x 0.32 in)","172 g (6.07 oz)","Glass front, plastic back, plastic frame","Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~70.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 5.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)","Qualcomm MSM8916 Snapdragon 410 (28 nm)","Quad-core 1.2 GHz Cortex-A53","Adreno 306","microSDXC (dedicated slot)","8GB 1.5GB RAM","eMMC 4.5","13 MP, f/2.1, AF","LED flash","1080p@30fps","5 MP, f/2.2",,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS","FM radio","microUSB 2.0","Accelerometer, proximity","Removable Li-Ion 3000 mAh battery","White, Black","SM-G600S, SM-G6000, SM-G600F, SM-G600FY","0.79 W/kg (head)     0.90 W/kg (body)   �","About 180 EUR",,,,,,,,,,,,"0.38 W/kg (head)     0.54 W/kg (body)   �",,,,,,,,,,,,,,,,"Up to 21 h (3G)","Up to 78 h",,,,,,,,,,,,,
"Samsung","Galaxy On5","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 1900 / 2100","1, 3, 5, 8, 20, 40","HSPA, LTE Cat4 150/50 Mbps","2015, October","Available. Released 2015, November","142.3 x 72.1 x 8.5 mm (5.60 x 2.84 x 0.33 in)","149 g (5.26 oz)","Glass front, plastic back, plastic frame","Dual SIM (Micro-SIM, dual stand-by) or Single SIM (Nano-SIM) - T-Mobile only","TFT capacitive touchscreen, 16M colors","5.0 inches, 71.8 cm (~70.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~288 ppi density)","Android 5.1 (Lollipop)Android 6.0 (Marshmallow) - T-Mobile","Exynos 3475 Quad (28 nm)","Quad-core 1.3 GHz Cortex-A7","Mali-T720","microSDXC (dedicated slot)","8GB 1.5GB RAM","eMMC 4.5","8 MP, f/2.2, AF","LED flash","1080p@30fps","5 MP, f/2.2",,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS","FM radio","microUSB 2.0","Accelerometer, proximity","Removable Li-Ion 2600 mAh battery","White, Black","SM-G5500, SM-G550F, SM-G5528, SM-G5510, SM-G550T1, SM-G550T, G55, SM-S550TL, SM-G550T2","1.40 W/kg (head)     1.09 W/kg (body)   �","About 140 EUR","2, 4, 12 - T-Mobile",,,,,,,,,,,"0.40 W/kg (head)     0.31 W/kg (body)   �",,,,,,,,,,,,,,,,"Up to 15 h (3G)","Up to 49 h",,,,,,,,,,,,,
"Samsung","Z3","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 900 / 2100",,"HSPA","2015, October","Available. Released 2015, October","141.6 x 70 x 7.9 mm (5.57 x 2.76 x 0.31 in)","137 g (4.83 oz)",,"Hybrid Dual SIM (Micro-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~69.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Tizen 2.3, upgradable to 2.4","Spreadtrum SC7730","Quad-core 1.3 GHz Cortex-A7","Mali-400","microSDXC (uses shared SIM slot)","8GB 1GB RAM",,"8 MP, f/2.2, AF","LED flash, panorama, HDR","720p@30fps","5 MP, f/2.2",,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP, LE","Yes, with A-GPS, GLONASS","FM radio","microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Removable Li-Ion 2600 mAh battery","Black, Silver, Gold","SM-Z300H/DD, SM-Z300H","0.70 W/kg (head)     0.77 W/kg (body)   �","About 110 EUR",,,,,,,"MP4/H.264 player  MP3/WAV/AAC/Flac player  Photo viewer  Document viewer",,,,,"0.53 W/kg (head)     0.48 W/kg (body)   �",,,,,,,,,,,,,,,,"Up to 15 h (3G)","Up to 55 h",,,,,,,,,,,,,
"Samsung","Galaxy J1 Ace","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","HSDPA 850 / 900 / 2100 - J111F","1, 3, 5, 7, 8, 20 - J110F","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, September","Available. Released 2015, October","130.1 x 67.6 x 9.5 mm (5.12 x 2.66 x 0.37 in)","131 g (4.62 oz)","Glass front, plastic back, plastic frame","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","4.3 inches, 52.6 cm (~59.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~217 ppi density)","Android 4.4.4 (KitKat), upgradable to 5.1.1 (Lollipop)","Spreadtrum SC9830Marvell PXA1908 - J110L","Quad-core 1.5 GHz Cortex-A7 - J111FQuad-core 1.2 GHz Cortex-A7Dual-core 1.3 GHz Cortex-A53- J110L","Mali-400MP2Vivante GC7000 UL - J110L","microSDXC (dedicated slot)","4GB 512MB RAM (J110L), 4GB 768MB RAM (J110F, J110G), 8GB 1GB RAM (J110M, J111F)",,"5 MP, f/2.2, 31mm (standard), AF","LED flash, panorama","720p@30fps","2 MP",,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS","FM radio, RDS, recording","microUSB 2.0","Accelerometer, proximity","Removable Li-Ion 1900 mAh battery","White, Black, Blue","SM-J111F, SM-J110G, SM-J110F, SM-J110H, SM-J110M, SM-J110L, SM-J111M","1.57 W/kg (head)     1.22 W/kg (body)   �","About 140 EUR","1, 3, 5, 7, 8, 20, 40 - J110G, J111F",,,,,,,,,,,"0.69 W/kg (head)     0.53 W/kg (body)   �",,,,,,,,,,,,,,,,"Up to 10 h (3G)","Up to 68 h",,,,,,,,,,,,,
"Samsung","Gear S2 classic","No cellular connectivity","N/A",,,,"2015, August","Available. Released 2015, October","43.6 x 39.9 x 11.4 mm (1.72 x 1.57 x 0.45 in)","42 g (1.48 oz)","Glass front (Gorilla Glass 3), stainless steel frame","No","Super AMOLED capacitive touchscreen, 16M colors","1.2 inches, 9.2 cm (~52.6% screen-to-body ratio)","360 x 360 pixels, 1:1 ratio (~302 ppi density)","Tizen-based wearable platform 2.3.2","Exynos 3250 Dual","Dual-core 1.0 GHz Cortex-A7","Mali-400MP2","No","4GB 512MB RAM",,,,,,,"No","No","Wi-Fi 802.11 b/g/n","4.1, A2DP, LE","No","No","No","Accelerometer, gyro, heart rate, barometer","Non-removable Li-Ion 250 mAh battery","Black, 18K rose gold, Platinum, ceramic bracelet","SM-R720, SM-R732",,"About 200 EUR",,,"Corning Gorilla Glass 3",,,"Yes","S-Voice natural language commands and dictation  MP3/M4A/AAC/WAV player  Photo viewer  Voice memo/dial/commands","Qi wireless charging",,"Samsung Pay  IP68 dust/water resistant (up to 1.5m for 30 mins)  Compatible with standard 20mm straps",,,"Always-on display  Rotating bezel",,,,,,,,,"No","No","No",,,"Up to 48 h (mixed usage) (2G) / Up to 48 h (3G)",,,,,,,,,,,,,,,
"Samsung","Gear S2","No cellular connectivity","N/A",,,,"2015, August","Available. Released 2015, October","49.8 x 42.3 x 11.4 mm (1.96 x 1.67 x 0.45 in)","47 g (1.66 oz)","Glass front (Gorilla Glass 3), stainless steel frame","No","Super AMOLED capacitive touchscreen, 16M colors","1.2 inches, 9.2 cm (~43.5% screen-to-body ratio)","360 x 360 pixels, 1:1 ratio (~302 ppi density)","Tizen-based wearable platform 2.3.2","Exynos 3250 Dual","Dual-core 1.0 GHz Cortex-A7","Mali-400MP2","No","4GB 512MB RAM",,,,,,,"No","No","Wi-Fi 802.11 b/g/n","4.1, A2DP, LE","No","No","No","Accelerometer, gyro, heart rate, barometer","Non-removable Li-Ion 250 mAh battery","Dark Gray, Silver","SM-R720",,"About 170 EUR",,,"Corning Gorilla Glass 3",,,"Yes","S-Voice natural language commands and dictation  MP3/M4A/AAC/WAV player  Photo viewer  Voice memo/dial/commands","Qi wireless charging",,"Samsung Pay  IP68 dust/water resistant (up to 1.5m for 30 mins)",,,"Always-on display  Rotating bezel",,,,,,,,,"No","No","No",,,"Up to 48 h (mixed usage) (2G) / Up to 48 h (3G)",,,,,,,,,,,,,,,
"Samsung","Gear S2 3G","GSM / HSPA","GSM 900 / 1800","HSDPA 900 / 2100",,"HSPA","2015, August","Available. Released 2015, October","51.8 x 44 x 13.4 mm (2.04 x 1.73 x 0.53 in)","51 g (1.80 oz)","Glass front (Gorilla Glass 3), stainless steel frame","eSIM","Super AMOLED capacitive touchscreen, 16M colors","1.2 inches, 9.2 cm (~40.2% screen-to-body ratio)","360 x 360 pixels, 1:1 ratio (~302 ppi density)","Tizen-based wearable platform 2.3.2","Qualcomm MSM8x26","Dual-core 1.0 GHz",,"No","4GB 512MB RAM",,,,,,,"Yes","No","Wi-Fi 802.11 b/g/n","4.1, A2DP, LE","Yes, with A-GPS","No","No","Accelerometer, gyro, heart rate, barometer","Non-removable Li-Ion 300 mAh battery","Dark Gray, Silver","SM-R7200, SM-R7320, SM-R7300",,"About 250 EUR","HSDPA 850 / 1900",,"Corning Gorilla Glass 3",,,"Yes","S-Voice natural language commands and dictation  MP3/M4A/AAC/WAV player  Photo viewer  Voice memo/dial/commands","Qi wireless charging",,"Samsung Pay  IP68 dust/water resistant (up to 1.5m for 30 mins)",,"0.05 W/kg (head)     0.30 W/kg (body)   �","Always-on display  Rotating bezel",,,,,,,,,"No",,,,,"Up to 48 h (mixed usage) (2G) / Up to 48 h (3G)",,,,,,,,,,,,,,,
"Samsung","Galaxy Note5 (USA)","GSM / CDMA / HSPA / LTE","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 900 / 1900 / 2100 - N920V, N920R","2, 3, 4, 7, 13 - N920V","HSPA 42.2/5.76 Mbps, LTE-A (3CA), EV-DO Rev.A 3.1 Mbps","2015, August","Available. Released 2015, August","153.2 x 76.1 x 7.6 mm (6.03 x 3.00 x 0.30 in)","171 g (6.03 oz)",,"Nano-SIM","Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm (~76.8% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~515 ppi density)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)","Exynos 7420 Octa (14 nm)","Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53)","Mali-T760MP8","No","32GB 4GB RAM, 64GB 4GB RAM","UFS 2.0","16 MP, f/1.9, 28mm (wide), 1/2.6"", 1.12µm, AF, OIS","LED flash, panorama, HDR","2160p@30fps, 1080p@30/60fps, dual-video rec., stereo sound rec., gyro-EIS","5 MP, f/1.9, 22mm (wide)","1440p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS","No","microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2","Non-removable Li-Ion 3000 mAh battery","Black Sapphire, White Pearl","SM-N920, SM-N920P, SM-N920V, SM-N920R, SM-N920W8, SM-N920R4","1.16 W/kg (head)     1.48 W/kg (body)   �","About 450 EUR","2, 4, 5, 12, 25 - N920R",,"Corning Gorilla Glass 4",,"Dual video call, Auto-HDR","Yes","ANT+  S-Voice natural language commands and dictation","Fast charging 15W  Quick Charge 2.0  PMA wireless charging",,"Stylus","24-bit/192kHz audio","0.51 W/kg (head)     0.56 W/kg (body)   �",,,,,,,,,,,,,,,,"Up to 28 h (3G)","Up to 57 h",,,,,,,,,,,,,
"Samsung","Galaxy Note5","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 900 / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 25, 26, 28, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps/ LTE-A (3CA) Cat9 450/50 Mbps","2015, August","Available. Released 2015, August","153.2 x 76.1 x 7.6 mm (6.03 x 3.00 x 0.30 in)","171 g (6.03 oz)","Glass front (Gorilla Glass 4), glass back (Gorilla Glass 4), aluminum frame","Nano-SIM","Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 88.5 cm (~75.9% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~518 ppi density)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)","Exynos 7420 Octa (14 nm)","Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53)","Mali-T760MP8","No","32GB 4GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","UFS 2.0","16 MP, f/1.9, 28mm (wide), 1/2.6"", 1.12µm, AF, OIS","LED flash, panorama, HDR","2160p@30fps, 1080p@30/60fps, dual-video rec., stereo sound rec., gyro-EIS","5 MP, f/1.9, 22mm (wide), 1/4.1"", 1.34µm","1440p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS","No","microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2","Non-removable Li-Po 3000 mAh battery","Black Sapphire, Gold Platinum, Silver Titan, White Pearl","SM-N920, SM-N920T, SM-N920A, SM-N920I, SM-N920G, SM-N920F, SM-N920S, SM-N920L, SM-N920K, SM-N9200","1.53 W/kg (head)     1.28 W/kg (body)   �","$ 159.14",,,"Corning Gorilla Glass 4",,"Dual video call, Auto-HDR","Yes","ANT+  S-Voice natural language commands and dictation","Fast charging 15W  Quick Charge 2.0  Qi/PMA wireless charging - market dependent",,"Stylus  Samsung Pay (Visa, MasterCard certified)","24-bit/192kHz audio","0.45 W/kg (head)     0.58 W/kg (body)   �",,,"Basemark OS II 2.0: 1880Basemark X: 26281","Contrast ratio: Infinite (nominal), 4.090 (sunlight)","Photo / Video","Voice 66dB / Noise 67dB / Ring 71dB","Endurance rating 85h",,"Noise -93.6dB / Crosstalk -94.7dB",,,,,,,"Up to 22 h (3G)","Up to 64 h",,,,,,,,,,,,,
"Samsung","Galaxy Note5 Duos","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 1900 / 2100 - N9208, N920C","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 25, 26, 28, 38, 39, 40, 41 - N9208, N9200","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps/ LTE-A (3CA) Cat9 450/50 Mbps","2015, August","Available. Released 2015, August","153.2 x 76.1 x 7.6 mm (6.03 x 3.00 x 0.30 in)","171 g (6.03 oz)","Glass front (Gorilla Glass 4), glass back (Gorilla Glass 4), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm (~76.8% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~515 ppi density)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)","Exynos 7420 Octa (14 nm)","Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53)","Mali-T760MP8","No","32GB 4GB RAM, 64GB 4GB RAM","UFS 2.0","16 MP, f/1.9, 28mm (wide), 1/2.6"", 1.12µm, AF, OIS","LED flash, panorama, HDR","2160p@30fps, 1080p@30/60fps, dual-video rec., stereo sound rec., gyro-EIS","5 MP, f/1.9, 22mm (wide)","1440p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS","No","microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2","Non-removable Li-Po 3000 mAh battery","Black Sapphire, Gold Platinum, Silver Titan, White Pearl","SM-N920, SM-N9208, SM-N920CD, SM-N920C",,"About 450 EUR","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26 - N920C",,"Corning Gorilla Glass 4",,"Dual video call, Auto-HDR","Yes","ANT+  S-Voice natural language commands and dictation","Fast charging 15W  Quick Charge 2.0  Qi/PMA wireless charging - market dependent",,"Stylus  Samsung Pay (Visa, MasterCard certified)","24-bit/192kHz audio","0.45 W/kg (head)     0.58 W/kg (body)   �",,,,,,,,,,,,,,,,"Up to 22 h (3G)","Up to 64 h",,,,,,,,,,,,,
"Samsung","Galaxy S6 edge+ (USA)","GSM / CDMA / HSPA / LTE","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 900 / 1900 / 2100 - G928V, G928P, G928R","2, 3, 4, 7, 13 - G928V","HSPA 42.2/5.76 Mbps, LTE-A (2CA), EV-DO Rev.A 3.1 Mbps","2015, August","Available. Released 2015, August","154.4 x 75.8 x 6.9 mm (6.08 x 2.98 x 0.27 in)","153 g (5.40 oz)","Glass front (Gorilla Glass 4), glass back (Gorilla Glass 4), aluminum frame","Nano-SIM","Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm (~76.5% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~515 ppi density)","Android 5.1.1 (Lollipop); TouchWiz UI","Exynos 7420 Octa (14 nm)","Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53)","Mali-T760MP8","No","32GB 4GB RAM, 64GB 4GB RAM","UFS 2.0","16 MP, f/1.9, 28mm (wide), 1/2.6"", 1.12µm, AF, OIS","LED flash, auto-HDR, panorama","2160p@30fps, 1080p@30fps (gyro-EIS), 1080p@60fps, 720p@120fps, HDR, dual-video rec., stereo sound rec., OIS","5 MP, f/1.9, 22mm (wide)","1440p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS","No","microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2","Non-removable Li-Ion 3000 mAh battery","Black Sapphire, Gold Platinum","SM-G928V, SM-G928P, SM-G928R",,"About 500 EUR","2, 4, 5, 12, 13, 17, 25 - G928R",,"Corning Gorilla Glass 4",,"Dual video call, Auto-HDR","Yes","ANT+  S-Voice natural language commands and dictation","Fast charging 15W  Qi/PMA wireless charging - market dependent",,"Samsung Pay (Visa, MasterCard certified)","24-bit/192kHz audio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung","Galaxy S6 edge+","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1700(AWS) / 1900 / 2100 - G928T, G928A","1, 2, 3, 4, 5, 7, 8, 12, 20 - G928T","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps/ LTE-A (3CA) Cat9 450/50 Mbps","2015, August","Available. Released 2015, August","154.4 x 75.8 x 6.9 mm (6.08 x 2.98 x 0.27 in)","153 g (5.40 oz)","Glass front (Gorilla Glass 4), glass back (Gorilla Glass 4), aluminum frame","Nano-SIM","Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 88.5 cm (~75.6% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~518 ppi density)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat); TouchWiz UI","Exynos 7420 Octa (14 nm)","Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53)","Mali-T760MP8","No","32GB 4GB RAM, 64GB 4GB RAM","UFS 2.0","16 MP, f/1.9, 28mm (wide), 1/2.6"", 1.12µm, AF, OIS","LED flash, auto-HDR, panorama","2160p@30fps, 1080p@30fps (gyro-EIS), 1080p@60fps, 720p@120fps, HDR, dual-video rec., stereo sound rec., OIS","5 MP, f/1.9, 22mm (wide)","1440p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS","No","microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2","Non-removable Li-Ion 3000 mAh battery","Black Sapphire, Gold Platinum, Silver Titan, White Pearl, Pink","SM-G928A, SM-G928F, SM-G928A, SM-G928T, G928I, SM-G928G, SM-G928C, SM-G928I, SCV31, SM-G9280, SM-G928L, SM-G928S, SM-G928K, SM-G928W8","1.22 W/kg (head)     1.48 W/kg (body)   �","About 450 EUR","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26 - G928F",,"Corning Gorilla Glass 4",,"Dual video call, Auto-HDR","Yes","ANT+  S-Voice natural language commands and dictation","Fast charging 15W  Qi/PMA wireless charging - market dependent",,"Samsung Pay (Visa, MasterCard certified)","24-bit/192kHz audio","0.22 W/kg (head)     0.58 W/kg (body)   �",,,"Basemark X: 26333","Contrast ratio: Infinite (nominal), 4.615 (sunlight)","Photo / Video","Voice 65dB / Noise 64dB / Ring 70dB","Endurance rating 83h",,"Noise -93.3dB / Crosstalk -93.7dB",,,,,,,"Up to 20 h (3G)","Up to 66 h",,,,,,,,,,,,,
