"oem","model","network_technology","network_2g_bands","network_3g_bands","network_4g_bands","network_5g_bands","network_speed","launch_announced","launch_status","body_dimensions","body_weight","body_build","body_sim","display_type","display_size","display_resolution","display_protection","display_�","platform_os","platform_chipset","platform_cpu","platform_gpu","memory_card_slot","memory_internal","memory_�","main_camera_quad","main_camera_features","main_camera_video","selfie_camera_single","selfie_camera_features","selfie_camera_video","sound_loudspeaker","sound_3.5mm_jack","comms_wlan","comms_bluetooth","comms_gps","comms_nfc","comms_usb","features_sensors","battery_�","battery_charging","misc_colors","misc_price","network_�","selfie_camera_dual","misc_models","sound_�","main_camera_dual","comms_radio","body_�","main_camera_triple","tests_performance","tests_display","tests_camera","tests_loudspeaker","tests_battery_life","camera_�","misc_sar","misc_sar_eu","tests_audio_quality","main_camera_single","battery_stand-by","battery_talk_time","comms_infrared_port","features_�","network_gprs","network_edge","selfie_camera_�"
"Oppo","R1x","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 1700 / 1900 / 2100","1, 3, 7",,"HSPA, LTE","2015, January","Available. Released 2015, January","140.6 x 70.1 x 6.8 mm (5.54 x 2.76 x 0.27 in)","130 g (4.59 oz)",,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~69.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,"Android 4.4 (KitKat); ColorOS 2","Qualcomm MSM8939 Snapdragon 615 (28 nm)","Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)","Adreno 405","microSDXC (uses shared SIM slot)","16GB 2GB RAM","eMMC 4.5",,"LED flash, HDR, panorama","1080p@30fps","5 MP",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, EDR","Yes, with A-GPS, GLONASS",,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","Non-removable Li-Po 2420 mAh battery",,"Dark blue, White","About 340 EUR",,,"R8206",,,"FM radio",,,"Basemark OS II 2.0: 753Basemark X: 4018","Contrast ratio: 836 (nominal), 2.281 (sunlight)","Photo / Video","Voice 66dB / Noise 66dB / Ring 69dB","Endurance rating 56h",,,,"Noise -93.5dB / Crosstalk -94.7dB","13 MP, AF","Up to 250 h","Up to 8 h",,,,,
"Oppo","U3","GSM / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","TD-SCDMA","38, 39, 40, 41",,"HSPA, LTE","2015, January","Available. Released 2015, April","156.8 x 81 x 8 mm (6.17 x 3.19 x 0.31 in)","195 g (6.88 oz)",,"Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.9 inches, 93.9 cm (~74.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~377 ppi density)",,,"Android 4.4.4 (KitKat); ColorOS 2","Mediatek MT6752 (28 nm)","Octa-core 1.7 GHz Cortex-A53","Mali-T760MP2","microSDHC (dedicated slot)","16GB 2GB RAM",,,"LED flash, HDR, panorama","1080p@30fps","5 MP","LED flash","1080p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP","Yes, with A-GPS","Yes","microUSB 2.0","Accelerometer, proximity, compass","Non-removable Li-Ion 3000 mAh battery","Fast charging 20W, 75% in 30 min (advertised)  VOOC","White, Black",,,,,,,"No",,,,,,,,,,,,"13 MP, AF","Up to 400 h (3G)","Up to 10 h (3G)",,,"Yes","Yes",
"Oppo","R5","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 900 / 1700 / 1900 / 2100","1, 3, 4, 7, 8, 17, 20, 28, 40",,"HSPA, LTE Cat4 150/50 Mbps","2014, October","Available. Released 2014, December","148.9 x 74.5 x 4.9 mm (5.86 x 2.93 x 0.19 in)","155 g (5.47 oz)",,"Micro-SIM","AMOLED capacitive touchscreen, 16M colors","5.2 inches, 74.9 cm (~67.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~423 ppi density)","Corning Gorilla Glass 3",,"Android 4.4.4 (KitKat); ColorOS 2","Qualcomm MSM8939 Snapdragon 615 (28 nm)","Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)","Adreno 405","No","16GB 2GB RAM","eMMC 4.5",,"LED flash, panorama, HDR","1080p@60fps, 720p@120fps","5 MP, f/2.5",,,"Yes","No","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","Non-removable Li-Po 2000 mAh battery","Fast charging 20W, 75% in 30 min (advertised)  VOOC","Silver, Gold","About 400 EUR",,,"R8106",,,"No",,,"Basemark OS II 2.0: 710Basemark X: 4855",,"Photo / Video",,"Endurance rating 38h",,,,,"13 MP, f/2.0, 1/3.1"", 1.12µm, AF",,,,,,,
"Oppo","N3","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 1700 / 1900 / 2100","1, 3, 4, 7, 8, 17, 20, 28, 40",,"HSPA, LTE","2014, October","Available. Released 2015, January","161.2 x 77 x 9.9 mm (6.35 x 3.03 x 0.39 in)","192 g (6.77 oz)",,"Hybrid Dual SIM (Nano-SIM/ Micro-SIM)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 82.6 cm (~66.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~403 ppi density)","Corning Gorilla Glass 3",,"Android 4.4.4 (KitKat); ColorOS 2","Qualcomm MSM8974AA Snapdragon 801 (28 nm)","Quad-core 2.3 GHz Krait 400","Adreno 330","microSDXC (uses shared SIM slot)","32GB 2GB RAM","eMMC 5.0",,"Dual-LED flash, HDR, Schneider Kreuznach certified optics, auto panorama (motorized rotation)","1080p@60fps, 720p@120fps","Motorized rotating pop-up main camera module","Dual-LED flash, HDR, Schneider Kreuznach certified optics, auto panorama (motorized rotation)","1080p@60fps, 720p@120fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS","Yes","microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Non-removable Li-Po 3000 mAh battery","Fast charging 20W, 75% in 30 min (advertised)  VOOC","White","About 550 EUR",,,"N5206, N5207",,,"No",,,"Basemark OS II 2.0: 1241Basemark X: 10095",,"Photo / Video",,"Endurance rating 64h",,,,,"16 MP, f/2.2, 1/2.3"", 1.34µm, AF",,,,"O-Click 2.0 bluetooth remote control",,,
"Oppo","R1S","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - all versions","HSDPA 850 / 900 / 1900 / 2100 TD-SCDMA","3, 7, 38, 39, 40",,"HSPA, LTE","2014, April","Available. Released 2014, June","142.7 x 70.4 x 7.1 mm (5.62 x 2.77 x 0.28 in)","140 g (4.94 oz)",,"Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Corning Gorilla Glass 3",,"Android 4.3 (Jelly Bean)","Qualcomm Snapdragon 400 (28 nm)","Quad-core 1.6 GHz Cortex-A7","Adreno 305","No","16GB 1GB RAM","eMMC 4.5",,"LED flash, panorama, HDR","1080p@30fps","5 MP",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, proximity, compass","Non-removable Li-Ion 2410 mAh battery",,"White, Blue","About 290 EUR","HSDPA 850 / 900 / 1900 / 2100 - R1K",,"R8006",,,"Stereo FM radio, RDS",,,,,,,,,,,,"13 MP, AF",,,,,,,
"Oppo","Neo 3","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 2100",,,"HSPA","2014, August","Available. Released 2014, August","132 x 65.8 x 9.2 mm (5.20 x 2.59 x 0.36 in)","128 g (4.52 oz)","Glass front, plastic back, plastic frame","Dual SIM (Mini-SIM/ Micro-SIM)","IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~64.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,,"Android 4.2.1 (Jelly Bean)","Mediatek MT6572 (28 nm)","Dual-core 1.3 GHz Cortex-A7","Mali-400","microSDHC (dedicated slot)","4GB 1GB RAM",,,"LED flash","720p@30fps","2 MP",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","2.1","Yes, with A-GPS",,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Removable Li-Ion 1900 mAh battery",,"White, Black","About 130 EUR",,,"R831K",,,"FM radio",,,,,,,,,,,,"5 MP, AF",,,,,,,
"Oppo","Find 5 Mini","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 2100",,,"HSPA 42.2/11.5 Mbps","2014, January","Available. Released 2014, January","137 x 68 x 7.7 mm (5.39 x 2.68 x 0.30 in)","128 g (4.52 oz)",,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm (~65.4% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~234 ppi density)",,,"Android 4.2.2 (Jelly Bean)","Mediatek MT6582M (28 nm)","Quad-core 1.3 GHz Cortex-A7","Mali-400MP2","microSDHC (dedicated slot)","4GB 1GB RAM",,,"LED flash","720p@30fps","2 MP",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, proximity, compass","Removable Li-Po 2000 mAh battery",,"White, Black","About 240 EUR",,,"R827",,,"FM radio",,,,,,,,,,,,"8 MP, AF",,,,,,,
"Oppo","R2001 Yoyo","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 2100",,,"HSPA 42.2/11.5 Mbps","2014, May","Available. Released 2014, May","138.5 x 69.5 x 9.2 mm (5.45 x 2.74 x 0.36 in)","145 g (5.11 oz)",,"Dual SIM (dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm (~63.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~234 ppi density)",,,"Android 4.2.1 (Jelly Bean)","Mediatek MT6582M (28 nm)","Quad-core 1.3 GHz Cortex-A7","Mali-400MP2","microSDHC (dedicated slot)","4GB 1GB RAM",,,"LED flash","720p","2 MP",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","2.1","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, proximity","Removable Li-Ion 1900 mAh battery",,"White, Black","About 200 EUR",,,"R20, R2001",,,"FM radio",,,,,,,,,,,,"5 MP, AF","Up to 350 h","Up to 6 h",,,,,
"Oppo","R1001 Joy","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 2100",,,"HSPA","2014, May","Available. Released 2014, May","124 x 63 x 9.9 mm (4.88 x 2.48 x 0.39 in)","125 g (4.41 oz)",,"Dual SIM (Mini-SIM/ Micro-SIM)","TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~58.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,"Android 4.2.1 (Jelly Bean)","Mediatek MT6572 (28 nm)","Dual-core 1.3 GHz Cortex-A7","Mali-400","microSDHC (dedicated slot)","4GB 512MB RAM",,,"LED flash","720p@30fps","VGA",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, proximity","Removable Li-Ion 1700 mAh battery",,"White, Black","About 100 EUR",,,"R1001",,,"FM radio",,,,,,,,,,,,"3.15 MP","Up to 280 h","Up to 7 h",,,,,
"Oppo","Neo 5","GSM / HSPA","GSM 850 / 900 / 1800 / 1900","HSDPA 2100",,,"HSPA 42.2/5.76 Mbps","2014, August","Available. Released 2014, August","132 x 65.8 x 9.2 mm (5.20 x 2.59 x 0.36 in)","132.5 g (4.69 oz)","Glass front, plastic back, plastic frame","Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~64.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,,"Android 4.3 (Jelly Bean); ColorOS 1.4","Qualcomm Snapdragon 400 (28 nm)","Quad-core 1.2 GHz Cortex-A7","Adreno 305","microSDHC (dedicated slot)","4GB 1GB RAM","eMMC 4.5",,"LED flash, panorama, HDR","720p@30fps","2 MP",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Removable Li-Ion 1900 mAh battery",,"Black","About 140 EUR",,,"1201, R831L",,,"FM radio",,,,,,,,,,,,"5 MP",,,,,,,
