"oem","model","network_technology","network_2g_bands","network_3g_bands","network_4g_bands","network_5g_bands","network_speed","launch_announced","launch_status","body_dimensions","body_weight","body_build","body_sim","display_type","display_size","display_resolution","display_protection","display_�","platform_os","platform_chipset","platform_cpu","platform_gpu","memory_card_slot","memory_internal","memory_�","main_camera_quad","main_camera_features","main_camera_video","selfie_camera_single","selfie_camera_features","selfie_camera_video","sound_loudspeaker","sound_3.5mm_jack","comms_wlan","comms_bluetooth","comms_gps","comms_nfc","comms_usb","features_sensors","battery_�","battery_charging","misc_colors","misc_price","network_�","selfie_camera_dual","misc_models","sound_�","main_camera_dual","comms_radio","body_�","main_camera_triple","tests_performance","tests_display","tests_camera","tests_loudspeaker","tests_battery_life","camera_�","misc_sar","misc_sar_eu","tests_audio_quality","main_camera_single","battery_stand-by","battery_talk_time","comms_infrared_port","features_�","network_gprs","network_edge","selfie_camera_�"
"Oppo","N1 mini","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 900 / 1900 / 2100","1, 3, 4, 7",,"HSPA, LTE","2014, August","Available. Released 2014, August","148.4 x 72.2 x 9.2 mm (5.84 x 2.84 x 0.36 in)","150 g (5.29 oz)",,"Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~64.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,"Android 4.3 (Jelly Bean); ColorOS 1.4","Qualcomm Snapdragon 400 (28 nm)","Quad-core 1.6 GHz Cortex-A7","Adreno 305","No","16GB 2GB RAM","eMMC 4.5",,"LED flash, panorama, HDR","1080p@30fps","Rotating pop-up main camera module","LED flash",,"Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Non-removable Li-Ion 2140 mAh battery",,"White","About 330 EUR",,,"N5111",,,"No",,,,,,,,,,,,"13 MP, 1/3.2"", AF",,,,,,,
"Oppo","R3","GSM / LTE","GSM 850 / 900 / 1800 / 1900","TD-SCDMA","38, 39, 40",,"HSPA, LTE","2014, June","Available. Released 2014, July","142.3 x 70.4 x 6.3 mm (5.60 x 2.77 x 0.25 in)","140 g (4.94 oz)",,"Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,"Android 4.3 (Jelly Bean)","Qualcomm Snapdragon 400 (28 nm)","Quad-core 1.6 GHz Cortex-A7","Adreno 305","microSDXC (dedicated slot)","8GB 1GB RAM","eMMC 4.5",,"LED flash, panorama, HDR","1080p@30fps","5 MP",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, gyro, proximity","Non-removable Li-Ion 2410 mAh battery",,"Black, white","About 270 EUR",,,,,,"Stereo FM radio, RDS",,,,,,,,,,,,"8 MP, AF",,,,,"Yes","Yes",
"Oppo","Find 7","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - all models","HSDPA 850 / 900 / 1900 / 2100  - international model","1, 3, 7, 20 - International model",,"HSPA, LTE","2014, March","Available. Released 2014, May","152.6 x 75 x 9.2 mm (6.01 x 2.95 x 0.36 in)","171 g (6.03 oz)",,"Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~72.9% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)","Corning Gorilla Glass 3",,"Android 4.3 (Jelly Bean); ColorOS","Qualcomm MSM8974AC Snapdragon 801 (28 nm)","Quad-core 2.5 GHz Krait 400","Adreno 330","microSDXC (dedicated slot)","32GB 3GB RAM","eMMC 5.0",,"Dual-LED flash, panorama, HDR","2160p@30fps, 1080p@60fps, 720p@120fps","5 MP, f/2.0",,,"Yes, with stereo speakers","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS","Yes","microUSB 2.0, USB On-The-Go","Accelerometer, gyro, proximity, compass","Removable Li-Po 3000 mAh battery","Fast charging 20W, 75% in 30 min (advertised)  VOOC","White, Black, Astro Black","About 440 EUR","LTE 700 / 1700 / 2100 - Mexico & US model",,"X9076, X9007",,,"No",,,"Basemark X: 14968","Contrast ratio: 1123:1 (nominal), 1.691 (sunlight)","Photo / Video","Voice 69dB / Noise 70dB / Ring 75dB","Endurance rating 44h",,,,"Noise -93.8dB / Crosstalk -94.4dB","13 MP, f/2.0, 1/3"", AF",,,,,,,
"Oppo","Find 7a","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - all models","HSDPA 850 / 900 / 1900 / 2100  - international model","1, 3, 7, 20 - International model",,"HSPA, LTE","2014, March","Available. Released 2014, March","152.6 x 75 x 9.2 mm (6.01 x 2.95 x 0.36 in)","170 g (6.00 oz)",,"Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~72.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Corning Gorilla Glass 3",,"Android 4.3 (Jelly Bean); ColorOS","Qualcomm MSM8974AB Snapdragon 801 (28 nm)","Quad-core 2.3 GHz Krait 400","Adreno 330","microSDXC (dedicated slot)","16GB 2GB RAM","eMMC 5.0",,"Dual-LED flash, panorama, HDR","2160p@30fps, 1080p@60fps, 720p@120fps","5 MP, f/2.0",,"1080p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS","Yes","microUSB 2.0, USB On-The-Go","Accelerometer, gyro, proximity, compass","Removable Li-Po 2800 mAh battery","Fast charging 20W, 75% in 30 min (advertised)  VOOC","White, Black","About 370 EUR","LTE 700 / 1700 / 2100 - Mexico & US model",,"X9006",,,"No",,,,"Contrast ratio: 852 (nominal), 2.279 (sunlight)","Photo / Video","Voice 71dB / Noise 72dB / Ring 75dB","Endurance rating 60h",,,,"Noise -92.7dB / Crosstalk -92.0dB","13 MP, f/2.0, 1/3"", AF",,,,,,,
"Oppo","Neo","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","HSDPA 2100",,,"HSPA","2014, February","Available. Released 2014, Q1","132 x 65.8 x 9.2 mm (5.20 x 2.59 x 0.36 in)","130 g (4.59 oz)",,"Single SIM or Dual SIM (dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 57.6 cm (~66.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~207 ppi density)",,,"Android 4.2.1 (Jelly Bean)",,"Dual-core 1.3 GHz",,"microSDHC (dedicated slot)","4GB 512MB RAM",,,,"Yes","2 MP",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","2.1, A2DP","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, proximity","Removable Li-Ion 1900 mAh battery",,"White, Black","About 160 EUR",,,,,,"FM radio",,,,,,,,,,,,"5 MP",,,,,,,
"Oppo","R1 R829T","GSM","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","TD-SCDMA",,,"HSPA","2013, December. Released 2013, December","Discontinued","142.7 x 70.4 x 7.1 mm (5.62 x 2.77 x 0.28 in)","140 g (4.94 oz)",,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Corning Gorilla Glass 3",,"Android 4.2.1 (Jelly Bean)","Mediatek MT6582 (28 nm)","Quad-core 1.3 GHz Cortex-A7","Mali-400MP2","No","16GB 1GB RAM",,,"LED flash, panorama, HDR","1080p@30fps","5 MP",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, gyro, proximity","Non-removable Li-Ion 2410 mAh battery",,"White, Black","About 300 EUR",,,,,,"Stereo FM radio, RDS",,,,,,,,,,,,"8 MP, AF",,,,,"Yes","Yes",
"Oppo","N1","GSM / HSPA","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 900 / 1700 / 1900 / 2100",,,"HSPA","2013, September. Released 2013, October","Discontinued","170.7 x 82.6 x 9 mm (6.72 x 3.25 x 0.35 in)","213 g (7.51 oz)",,"Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","5.9 inches, 96.0 cm (~68.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~373 ppi density)",,,"Android 4.2 (Jelly Bean)","Qualcomm Snapdragon 600","Quad-core 1.7 GHz Krait 300","Adreno 320","No","16GB 2GB RAM, 32GB 2GB RAM",,,"Dual-LED flash, panorama, HDR","1080p@30fps","Rotating pop-up main camera module","LED flash",,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS","Yes","microUSB 2.0, USB On-The-Go","Accelerometer, gyro, proximity, compass","Non-removable Li-Ion 3610 mAh battery",,"White, dark blue","About 430 EUR",,,,,,"No","Touch-sensitive panel (back)",,,"Contrast ratio: 1164:1 (nominal) / 1.470:1 (sunlight)","Photo / Video","Voice 73dB / Noise 67dB / Ring 78dB","Endurance rating 79h",,,,"Noise -93.7dB / Crosstalk -83.7dB","13 MP, AF",,,,,,,
"Oppo","R819","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 2100 - SIM 1 & SIM 2",,,"HSPA","2013, August. Released 2013, September","Discontinued","136.5 x 68 x 7.3 mm (5.37 x 2.68 x 0.29 in)","110 g (3.88 oz)",,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm (~65.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,,"Android 4.2.1 (Jelly Bean)","Mediatek MT6589 (28 nm)","Quad-core 1.2 GHz Cortex-A7","PowerVR SGX544","No","16GB 1GB RAM",,,"LED flash, panorama, HDR","1080p@30fps","1.9 MP",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","3.0","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, gyro, proximity","Non-removable Li-Ion 2000 mAh battery",,"White","About 250 EUR",,,,,,"Stereo FM radio, RDS",,,,"Contrast ratio: 1210:1 (nominal) / 1.957:1 (sunlight)","Photo / Video","Voice 64dB / Noise 66dB / Ring 73dB","Endurance rating 56h",,,,"Noise -92.4dB / Crosstalk -87.9dB","8 MP, AF",,,,,,,
"Oppo","Find 5","GSM / HSPA","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1900 / 2100",,,"HSPA","2012, December. Released 2013, February","Discontinued","141.8 x 68.8 x 8.9 mm (5.58 x 2.71 x 0.35 in)","165 g (5.82 oz)",,"Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~70.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","Corning Gorilla Glass 2",,"Android 4.1 (Jelly Bean)","Qualcomm APQ8064 Snapdragon S4 Pro","Quad-core 1.5 GHz Krait","Adreno 320","No","16GB 2GB RAM, 32GB 2GB RAM",,,"LED flash, panorama, HDR","1080p@30fps, HDR","1.9 MP",,,"Yes","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS","Yes","microUSB 2.0","Accelerometer, gyro, proximity, compass","Non-removable Li-Ion 2500 mAh battery",,"White, Black","About 540 EUR","HSDPA 850 / 1700 / 1900 / 2100",,,,,"No",,,,"Contrast ratio: 1107 (nominal) / 2.088:1 (sunlight)","Photo / Video","Voice 70dB / Noise 67dB / Ring 73dB","Endurance rating 43h",,,,"Noise -82.0dB / Crosstalk -81.4dB","13 MP, AF",,,,,,,
"Oppo","U705T Ulike 2","GSM","GSM 850 / 900 / 1800 / 1900","TD-SCDMA",,,"HSPA","2012, November. Released 2012, December","Discontinued","127 x 63.7 x 9 mm (5.0 x 2.51 x 0.35 in)","113 g (3.99 oz)",,"Micro-SIM","TFT capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~69.0% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",,,"Android 4.0.4 (Ice Cream Sandwich)","Mediatek MT6517","Dual-core 1.0 GHz Cortex-A9","PowerVR SGX531u","No","16GB 1GB RAM",,,"LED flash, panorama, HDR","720p@30fps","5 MP",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, proximity, compass","Non-removable Li-Ion 2020 mAh battery",,"White","About 280 EUR",,,,,,"No",,,,,,,,,,,,"8 MP, AF",,,,,"Yes","Yes",
"Oppo","R601","GSM","GSM 900 / 1800",,,,,"2012, November. Released 2012, December","Discontinued","112.8 x 55.5 x 14.3 mm (4.44 x 2.19 x 0.56 in)","102.5 g (3.60 oz)",,"Yes","IPS LCD capacitive touchscreen, 16M colors","3.0 inches, 26.8 cm (~42.8% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~192 ppi density)",,,"Android 4.0.4 (Ice Cream Sandwich)","Mediatek MT6515","1.0 GHz Cortex-A9","PowerVR SGX531","microSDHC (dedicated slot)","4GB (2GB user available), 512MB RAM",,,,"Yes",,,,"Yes","Yes","Wi-Fi 802.11 b/g, hotspot","Yes",,,"microUSB 2.0","Accelerometer, proximity","Li-Ion 1100 mAh battery",,"White","About 320 EUR",,,,,,"No",,,,,,,,,,,,"3.15 MP","Up to 400 h","Up to 8 h",,,"Yes","Yes","No"
"Oppo","R821T FInd Muse","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 2100",,,"HSPA","2013. Released 2013","Discontinued","123 x 63.5 x 9.9 mm (4.84 x 2.5 x 0.39 in)","-",,"Dual SIM (Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~58.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,"Android 4.2 (Jelly Bean)","Mediatek MT6572 (28 nm)","Dual-core 1.2 GHz Cortex-A7","Mali-400","microSDHC (dedicated slot)","4GB 512MB RAM",,,,"Yes","VGA",,,"Yes","Yes","Wi-Fi 802.11 b/g, hotspot","Yes","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, proximity","Removable Li-Ion 1700 mAh battery",,"White","About 290 EUR",,,,,,"FM radio",,,,,,,,,,,,"3.15 MP",,,,,,,
"Oppo","R811 Real","GSM","GSM 900 / 1800 / 1900 - SIM 1 & SIM 2","TD-SCDMA",,,"HSPA","2012, October. Released 2012, December","Discontinued","115.2 x 61.5 x 10.9 mm (4.54 x 2.42 x 0.43 in)","119 g (4.20 oz)",,"Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm (~51.5% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,,"Android 4.0.4 (Ice Cream Sandwich)","Mediatek MT6515","1.0 GHz Cortex-A9","PowerVR SGX531","microSDHC (dedicated slot)","4GB 512MB RAM",,,,"Yes","Yes",,,"Yes","Yes","Wi-Fi 802.11 b/g, hotspot","Yes","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, proximity","Removable Li-Ion 1520 mAh battery",,"White","About 150 EUR",,,,,,"No",,,,,,,,,,,,"3.15 MP, AF","Up to 250 h","Up to 10 h",,,"Yes","Yes",
"Oppo","T29","GSM / HSPA","GSM 850 / 900 / 1800 / 1900","HSDPA 2100",,,"HSPA","2012, October. Released 2012, October","Discontinued","131.5 x 67 x 10.5 mm (5.18 x 2.64 x 0.41 in)","160 g (5.64 oz)",,"Yes","TFT capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~63.4% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",,,"Android 4.0.4 (Ice Cream Sandwich)","Mediatek MT6577 (40 nm)","Dual-core 1.0 GHz Cortex-A9","PowerVR SGX531u","microSDHC (dedicated slot)","4GB 1GB RAM",,,"LED flash, panorama, HDR","Yes","VGA",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","Yes","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, proximity","Li-Ion 3150 mAh battery",,"Black","About 100 EUR",,,,,,"No",,,,,,,,,,,,"8 MP, AF","Up to 480 h (2G) / Up to 480 h (3G)","Up to 20 h (2G) / Up to 11 h (3G)",,,,,
"Oppo","R817 Real","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 2100",,,"HSPA","2012, October. Released 2012, October","Discontinued","123 x 63 x 9.7 mm (4.84 x 2.48 x 0.38 in)","125 g (4.41 oz)",,"Dual SIM (Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~58.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,"Android 4.0.4 (Ice Cream Sandwich)","Mediatek MT6577 (40 nm)","Dual-core 1.0 GHz Cortex-A9","PowerVR SGX531u","microSDHC (dedicated slot)","4GB 1GB RAM",,,"LED flash","Yes","VGA",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","Yes","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, proximity","Li-Ion 1710 mAh battery",,"White, Black","About 100 EUR",,,,,,"No",,,,,,,,,,,,"8 MP, AF","Up to 400 h (2G) / Up to 380 h (3G)","Up to 8 h 40 min (2G) / Up to 8 h (3G)",,,,,
"Oppo","R815T Clover","GSM / HSPA","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1900 / 2100",,,"HSPA 42.2/5.76 Mbps","2013, April. Released 2013, April","Discontinued","129.6 x 66.7 x 9.8 mm (5.10 x 2.63 x 0.39 in)","141.5 g (4.97 oz)",,"Mini-SIM","IPS LCD capacitive touchscreen, 16M colors","4.3 inches, 52.6 cm (~60.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~217 ppi density)",,,"Android 4.2.1 (Jelly Bean)","Mediatek MT6589 (28 nm)","Quad-core 1.2 GHz Cortex-A7","PowerVR SGX544","microSDHC (dedicated slot)","4GB 1GB RAM",,,"LED flash, HDR","Yes","2 MP",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, proximity","Removable Li-Ion 1700 mAh battery",,"White","About 100 EUR",,,,,,"No",,,,,,,,,,,,"5 MP, AF","Up to 300 h (2G) / Up to 250 h (3G)","Up to 8 h 40 min (2G) / Up to 8 h (3G)",,,,,
"Oppo","Find","GSM / HSPA","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1900 / 2100",,,"HSPA","2012, June. Released 2012, July","Discontinued","125 x 66 x 6.7 mm (4.92 x 2.60 x 0.26 in)","125 g (4.41 oz)",,"Micro-SIM","Super AMOLED Plus capacitive touchscreen, 16M colors","4.3 inches, 52.6 cm (~63.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~217 ppi density)",,,"Android 4.0.4 (Ice Cream Sandwich)",,"Dual-core 1.5 GHz Krait",,"No","16GB 1GB RAM",,,"Dual-LED flash, panorama, HDR","Yes","1.3 MP",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","2.0, A2DP","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, gyro, proximity, compass","Non-removable Li-Ion 1500 mAh battery",,"White, Black","About 100 EUR",,,,,,,,,,,,,,,,,,"8 MP, AF","Up to 400 h (2G) / Up to 350 h (3G)","Up to 9 h 20 min (2G) / Up to 7 h 30 min (3G)",,,,,
"Oppo","U701 Ulike","GSM / HSPA","GSM 850 / 900 / 1800 / 1900","HSDPA 2100",,,"HSPA","2012, June. Released 2012, June","Discontinued","123 x 64 x 9.7 mm (4.84 x 2.52 x 0.38 in)","130 g (4.59 oz)",,"Yes","IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~57.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,"Android 2.3 (Gingerbread)","Mediatek MT6575 (40 nm)","1.0 GHz Cortex-A9","PowerVR SGX531","microSDHC (dedicated slot)","4GB 512MB RAM",,,"LED flash","Yes","2 MP",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","Yes","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, proximity, compass","Li-Ion 1710 mAh battery",,"White","About 80 EUR",,,,,,"No",,,,,,,,,,,,"5 MP, AF","Up to 400 h (2G) / Up to 400 h (3G)","Up to 9 h 20 min (2G) / Up to 7 h (3G)",,,,,
