brand,phone_name,phone_price,phone_image,available_status,average_rating,battery_rating,camera_rating,design_rating,performance_rating,connectivity_rating,user_rating,cpu,density,diagonal,processor_model,resolution,screen_type,size,usable_surface,weight,aspect_ratio
Vivo,Vivo S5,290,//cdn-files.kimovil.com/phone_front/0003/76/thumb_275499_phone_front_x_small.jpeg,On Sale,7.5,7.5,8.2,8,7.7,6.1,0,2x2.2 GHz Kryo 360+6x 1.7 GHz Kryo 360,411 ppi Very high density,6.44,Qualcomm Snapdragon 712,1080 x 2400 px,Super Amoled,73.9 mm  157.9 mm  8.6 mm,85%,188 g,20:09
Vivo,Vivo Z5i,291,//cdn-files.kimovil.com/phone_front/0003/81/thumb_280954_phone_front_x_small.jpeg,On Sale,7.3,8.5,7.5,7.4,7.6,5.6,0,2x Kryo 460 2.0 Ghz + 6x Kryo 460 1.7 Ghz,395 ppi High Density,6.53,Qualcomm Snapdragon 675,1080 x 2340 px,LCD IPS,76.5 mm  162.2 mm  8.9 mm,84%,193 g,19.5:9
Vivo,Vivo Y9s,281,//cdn-files.kimovil.com/phone_front/0003/88/thumb_287777_phone_front_x_small.jpeg,On Sale,7.1,7.9,6.7,7.1,7.5,6.1,0,4x2.0 GHz Kryo 260 + 4x 1.7 GHz Kryo 260,404 ppi Very high density,6.38,Qualcomm Snapdragon 665,1080 x 2340 px,Super Amoled,75.2 mm  159.3 mm  8.7 mm,83%,187 g,19.5:9
Vivo,Vivo X30 Pro,559,//cdn-files.kimovil.com/phone_front/0003/90/thumb_289240_phone_front_x_small.jpeg,On Sale,8.1,7.8,8.7,8,8.1,8.1,0,2x2.2GHz ARM Cortex,409 ppi Very high density,6.44,Samsung Exynos 980,1080 x 2400 px,Super Amoled,74.1 mm  158.5 mm  8.8 mm,85%,199 g,20:09
Vivo,Vivo X30,468,//cdn-files.kimovil.com/phone_front/0003/90/thumb_289205_phone_front_x_small.jpeg,On Sale,8,7.8,8.3,8,8.1,7.7,0,2x2.2GHz ARM Cortex,409 ppi Very high density,6.44,Samsung Exynos 980,1080 x 2400 px,Super Amoled,74.1 mm  158.5 mm  8.8 mm,85%,196 g,20:09
Vivo,Vivo iQOO 3,579,//cdn-files.kimovil.com/phone_front/0004/29/thumb_328693_phone_front_x_small.jpeg,On Sale,8.6,7.9,8.3,8.7,9.1,9,0,Kryo 585 1x Cortex,409 ppi Very high density,6.44,Qualcomm Snapdragon 865,1080 x 2400 px,Super Amoled,74.9 mm  158.5 mm  9.2 mm,87%,214 g,20:09
Vivo,Vivo Z6,341,//cdn-files.kimovil.com/phone_front/0004/29/thumb_328175_phone_front_x_small.jpeg,Presell,7.7,8.7,8,7.5,8,6.3,0,1x Cortex,401 ppi Very high density,6.57,Qualcomm Snapdragon 765G,1080 x 2400 px,LCD IPS,75.7 mm  164.0 mm  9.2 mm,83%,201 g,20:09
Vivo,Vivo NEX 3s 5G,676,//cdn-files.kimovil.com/phone_front/0004/36/thumb_335130_phone_front_x_small.jpeg,Presell,8.7,8,8.8,8.7,9.1,9.1,0,Kryo 585 1x Cortex,363 ppi High Density,6.89,Qualcomm Snapdragon 865,1080 x 2256 px,Super Amoled,76.1 mm  167.4 mm  9.4 mm,93%,219 g,19:09
Vivo,Vivo S6,392,//cdn-files.kimovil.com/phone_front/0004/46/thumb_345738_phone_front_x_small.jpeg,On Sale,7.4,8,7,7,8.1,6.9,0,2x2.2GHz ARM Cortex,409 ppi Very high density,6.44,Samsung Exynos 980,1080 x 2400 px,Amoled,74.7 mm  161.2 mm  8.7 mm,83%,181 g,20:09
Vivo,Vivo iQoo Neo3,458,//cdn-files.kimovil.com/phone_front/0004/56/thumb_355257_phone_front_x_small.jpeg,Presell,8,8,7.1,7.8,9,8.1,0,Kryo 585 1x Cortex,402 ppi Very high density,6.57,Qualcomm Snapdragon 865,1080 x 2408 px,LCD IPS,75.6 mm  163.7 mm  8.9 mm,84%,198 g,20:09
OnePlus,OnePlus 3T,319,//cdn-files.kimovil.com/phone_front/0001/28/thumb_27544_phone_front_x_small.jpeg,On Sale,6.9,6,7.4,6.5,7.4,7.1,0,Dual cluster Kryo 2x2.35GHz + 2x1.6GHz,401 ppi Very high density,5.5,Qualcomm Snapdragon 821 2.35GHz,1080 x 1920 px,Amoled,74.7 mm  152.7 mm  7.4 mm,73%,158 g,16:09
OnePlus,OnePlus 5,311,//cdn-files.kimovil.com/phone_front/0001/75/thumb_74270_phone_front_x_small.jpeg,On Sale,7.1,5.7,7.5,6.4,7.6,8.5,0,4x 2.45 GHz Kryo + 4x 2.15 GHz Kryo,401 ppi Very high density,5.5,Qualcomm Snapdragon 835,1080 x 1920 px,Amoled,74.7 mm  152.7 mm  7.3 mm,73%,153 g,16:09
