brand,phone_name,phone_price,phone_image,available_status,average_rating,battery_rating,camera_rating,connectivity_rating,performance_rating,design_rating,user_rating,battery,cpu,density,diagonal,front_camera,main_camera,os,os_version,processor_model,ram,resolution,screen_type,size,storage,usable_surface,weight,aspect_ratio
Huawei,Huawei nova 6 SE,324,//cdn-files.kimovil.com/phone_front/0003/85/thumb_284356_phone_front_x_small.jpeg,On Sale,7.1,7.7,6.5,6.3,7.9,7.2,0,4200 mAh,ARM V8,398 ppi High Density,6.4,16 Mpx/2.0,48 Mpx/1.8,Android 10Q,Android 10,Huawei HiSilicon KIRIN 810,8 GB RAM,1080 x 2310 px,LCD IPS,76.3 mm  159.2 mm  8.7 mm,128 GB,83%,183 g,19.5:9
Huawei,Huawei Y6s,137,//cdn-files.kimovil.com/phone_front/0002/83/thumb_182183_phone_front_x_small.jpeg,On Sale,5.1,4.5,4.8,4.8,6.1,5.3,0,3020 mAh,4×Cortex A53 2.3GHz+4×Cortex A53 1.8GHz,282 ppi Medium Density,6.09,8 Mpx/2.0,13 Mpx/1.8,Android 9.0P,Android 9.0 Pie,MediaTek Helio P35 MT6765,3 GB RAM,720 x 1560 px,TFT LCD (IPS),73.5 mm  156.3 mm  8.0 mm,32 GB,79%,150 g,19.5:9
Huawei,Huawei P40 Lite,275,//cdn-files.kimovil.com/phone_front/0003/85/thumb_284356_phone_front_x_small.jpeg,On Sale,7.3,7.7,6.5,7,7.9,7.2,0,4200 mAh,ARM V8,398 ppi High Density,6.4,16 Mpx/2.0,48 Mpx/1.8,Android 10Q,Android 10,Huawei HiSilicon KIRIN 810,6 GB RAM,1080 x 2310 px,LCD IPS,76.3 mm  159.2 mm  8.7 mm,128 GB,83%,183 g,19.5:9
Huawei,Huawei P40,679,//cdn-files.kimovil.com/phone_front/0004/43/thumb_342208_phone_front_x_small.jpeg,On Sale,8.5,6.6,9.4,9.6,8.5,8.2,0,3800 mAh,2x2.86 GHz ARM Cortex,422 ppi Very high density,6.1,32 Mpx/2.0,52 Mpx/1.9,Android 10Q,Android 10,Huawei HiSilicon KIRIN 990,8 GB RAM,1080 x 2340 px,Oled,71.1 mm  148.9 mm  8.5 mm,128 GB,86%,175 g,19.5:9
Huawei,Huawei Honor 30S,470,//cdn-files.kimovil.com/phone_front/0004/45/thumb_344642_phone_front_x_small.jpeg,Presell,8,7.7,8.7,7.7,8.2,7.6,0,4200 mAh,"1xARM Cortex A76 2,36GHz +3xARM Cortex A76 2,22GHz +4xCortex",405 ppi Very high density,6.5,16 Mpx/2.0,64 Mpx/1.8,Android 10Q,Android 10,Huawei HiSilicon KIRIN 820,8 GB RAM,1080 x 2400 px,LTPS LCD,75.0 mm  162.3 mm  8.6 mm,128 GB,83%,190 g,20:09
Huawei,Huawei Honor Play 9A,170,//cdn-files.kimovil.com/phone_front/0004/46/thumb_345714_phone_front_x_small.jpeg,Presell,6.2,8.4,5.4,4.5,6.5,6.3,0,5000 mAh,4×Cortex A53 2.3GHz+4×Cortex A53 1.8GHz,278 ppi Medium Density,6.3,8 Mpx/2.0,13 Mpx/1.8,Android 10Q,Android 10,MediaTek Helio P35 MT6765,4 GB RAM,720 x 1600 px,TFT LCD (IPS),74.1 mm  159.1 mm  9.0 mm,64 GB,81%,185 g,20:09
Huawei,Huawei P40 Lite E,194,//cdn-files.kimovil.com/phone_front/0004/50/thumb_349154_phone_front_x_small.jpeg,On Sale,6.8,7,6.4,6.5,7.2,6.7,0,4000 mAh,4x 2.2 GHz ARM Cortex,269 ppi Medium Density,6.39,8 Mpx/2.0,48 Mpx/1.8,Android 9.0P,Android 9.0 Pie,Huawei HiSilicon KIRIN 710F,4 GB RAM,720 x 1560 px,LCD IPS,76.1 mm  159.8 mm  8.1 mm,64 GB,82%,176 g,19.5:9
Huawei,Huawei Honor Play 4T Pro,230,//cdn-files.kimovil.com/phone_front/0004/48/thumb_347011_phone_front_x_small.jpeg,Presell,7.2,6.7,8,6.4,7.9,7.2,0,3900 mAh,ARM V8,418 ppi Very high density,6.3,16 Mpx/2.0,48 Mpx/1.8,Android 10Q,Android 10,Huawei HiSilicon KIRIN 810,6 GB RAM,1080 x 2400 px,Amoled,73.2 mm  157.4 mm  7.5 mm,128 GB,83%,163 g,20:09
Huawei,Huawei Honor 30 Pro,639,//cdn-files.kimovil.com/phone_front/0004/52/thumb_351756_phone_front_x_small.jpeg,Presell,8.6,7.2,9.2,9.1,8.7,8.7,0,4000 mAh,2x2.86 GHz ARM Cortex,392 ppi High Density,6.57,32 Mpx/2.0,40 Mpx/1.8,Android 10Q,Android 10,Huawei HiSilicon KIRIN 990,8 GB RAM,1080 x 2340 px,Oled,73.6 mm  160.3 mm  8.6 mm,128 GB,89%,186 g,19.5:9
Huawei,Huawei Honor 30,487,//cdn-files.kimovil.com/phone_front/0004/52/thumb_351769_phone_front_x_small.jpeg,Presell,8.3,7.3,9,8.7,8.3,8.3,0,4000 mAh,2.58 GHz ARM Cortex,403 ppi Very high density,6.53,32 Mpx/2.0,40 Mpx/1.8,Android 10Q,Android 10,Huawei HiSilicon KIRIN 985,6 GB RAM,1080 x 2400 px,Oled,74.2 mm  160.3 mm  8.5 mm,128 GB,86%,185 g,20:09
