average_rating,battery_rating,brand,camera_rating,connectivity_rating,design_rating,performance_rating,phone_image,phone_name,user_rating
3.6,3.9,Huawei,4.0,2.8,3.9,3.3,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1035_phone_front_medium.jpeg,Huawei Honor 3X Pro,0
4.4,3.0,Huawei,6.0,4.4,5.2,3.4,//cdn-files.kimovil.com/phone_front/0001/01/thumb_872_phone_front_medium.jpeg,Huawei Ascend P7,0
3.2,2.7,Huawei,4.7,2.6,3.0,2.8,//cdn-files.kimovil.com/phone_front/0001/01/thumb_886_phone_front_medium.jpeg,Huawei Honor 3C 4G,0
4.9,4.5,Huawei,6.1,3.6,5.5,5.0,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1158_phone_front_medium.jpeg,Huawei Honor 6,0
2.7,2.2,Huawei,4.2,2.3,2.8,2.2,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1664_phone_front_medium.jpeg,Huawei Honor 3C Play Edition,0
4.3,4.6,Huawei,5.9,3.5,4.2,3.4,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1726_phone_front_medium.jpeg,Huawei C199,0
2.9,2.1,Huawei,4.2,3.5,2.4,2.4,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1898_phone_front_medium.jpeg,Huawei Honor 4 Play,0
4.4,5.0,Huawei,5.9,3.1,4.6,3.2,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1894_phone_front_medium.jpeg,Huawei Ascend G7,0
3.2,2.1,Huawei,3.9,4.4,3.0,2.4,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1891_phone_front_medium.jpeg,Huawei Ascend G620S,0
2.7,2.3,Huawei,2.0,4.3,2.2,2.5,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1889_phone_front_medium.jpeg,Huawei Ascend Y550,0
6.3,8.2,Huawei,5.9,7.3,5.2,4.7,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1759_phone_front_medium.jpeg,Huawei Ascend Mate7,0
2.3,2.4,Huawei,2.0,2.9,2.3,2.0,//cdn-files.kimovil.com/phone_front/0001/05/thumb_4134_phone_front_medium.jpeg,Huawei Ascend G535,0
3.0,2.2,Huawei,4.2,2.5,3.8,2.4,//cdn-files.kimovil.com/phone_front/0001/04/thumb_3122_phone_front_medium.jpeg,Huawei Honor Holly,0
3.8,4.8,Huawei,5.3,4.0,2.5,2.4,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1986_phone_front_medium.jpeg,Huawei Honor 4X,0
3.9,4.3,Huawei,5.3,4.1,2.5,3.4,//cdn-files.kimovil.com/phone_front/0001/03/thumb_2636_phone_front_medium.jpeg,Huawei Honor 4X Play,0
2.5,2.3,Huawei,2.3,3.4,2.6,2.0,//cdn-files.kimovil.com/phone_front/0001/03/thumb_2265_phone_front_medium.jpeg,Huawei G620,0
5.6,5.9,Huawei,6.2,5.4,5.5,4.8,//cdn-files.kimovil.com/phone_front/0001/03/thumb_2360_phone_front_medium.jpeg,Huawei Honor 6 Plus,0
2.2,2.7,Huawei,2.0,1.9,2.1,2.1,//cdn-files.kimovil.com/phone_front/0001/04/thumb_3671_phone_front_medium.jpeg,Huawei Ascend Y540,0
3.7,3.2,Huawei,5.9,3.0,2.9,3.3,//cdn-files.kimovil.com/phone_front/0001/05/thumb_4088_phone_front_medium.jpeg,Huawei Honor 4C Play,0
5.2,8.3,Huawei,3.3,5.0,4.6,4.8,//cdn-files.kimovil.com/phone_front/0001/04/thumb_3531_phone_front_medium.jpeg,Huawei MediaPad Honor X2,0
2.7,2.2,Huawei,2.3,4.2,1.8,2.8,//cdn-files.kimovil.com/phone_front/0001/04/thumb_3479_phone_front_medium.jpeg,Huawei Y635,0
2.2,2.0,Huawei,2.3,2.4,2.2,2.1,//cdn-files.kimovil.com/phone_front/0001/05/thumb_4594_phone_front_medium.jpeg,Huawei Y3,0
4.2,2.4,Huawei,6.1,4.7,3.6,4.2,//cdn-files.kimovil.com/phone_front/0001/05/thumb_4016_phone_front_medium.jpeg,Huawei P8 Lite,0
5.2,3.5,Huawei,7.2,4.9,5.8,4.8,//cdn-files.kimovil.com/phone_front/0001/04/thumb_3900_phone_front_medium.jpeg,Huawei P8,0
2.4,2.3,Huawei,2.6,2.8,2.3,2.0,//cdn-files.kimovil.com/phone_front/0001/04/thumb_3472_phone_front_medium.jpeg,Huawei Y625,0
3.7,3.2,Huawei,5.9,3.1,3.2,3.2,//cdn-files.kimovil.com/phone_front/0001/05/thumb_4578_phone_front_medium.jpeg,Huawei G Play mini,0
5.8,7.7,Huawei,7.1,4.2,5.3,4.5,//cdn-files.kimovil.com/phone_front/0001/05/thumb_4286_phone_front_medium.jpeg,Huawei P8 Max,0
2.2,1.9,Huawei,2.9,1.7,1.9,2.4,//cdn-files.kimovil.com/phone_front/0001/43/thumb_42280_phone_front_medium.jpeg,Huawei Honor Bee,0
5.7,5.1,Huawei,6.8,6.1,5.2,5.1,//cdn-files.kimovil.com/phone_front/0001/05/thumb_4747_phone_front_medium.jpeg,Huawei Honor 7,0
2.5,2.5,Huawei,2.3,3.1,2.3,2.5,//cdn-files.kimovil.com/phone_front/0001/06/thumb_5845_phone_front_medium.jpeg,Huawei Ascend Y5,0
3.1,2.8,Huawei,3.9,3.0,3.1,2.5,//cdn-files.kimovil.com/phone_front/0001/05/thumb_4946_phone_front_medium.jpeg,Huawei Honor 4A Play,0
2.8,2.8,Huawei,2.6,2.5,3.2,3.1,//cdn-files.kimovil.com/phone_front/0001/06/thumb_5841_phone_front_medium.jpeg,Huawei Y6+,0
3.2,2.3,Huawei,3.0,2.5,4.3,3.7,//cdn-files.kimovil.com/phone_front/0001/13/thumb_12060_phone_front_medium.jpeg,Huawei GR3,0
4.6,4.5,Huawei,4.5,4.5,5.5,3.8,//cdn-files.kimovil.com/phone_front/0001/06/thumb_5272_phone_front_medium.jpeg,Huawei Honor 7i,0
5.9,3.5,Huawei,7.1,7.1,6.9,5.0,//cdn-files.kimovil.com/phone_front/0001/06/thumb_5527_phone_front_medium.jpeg,Huawei Mate S,0
5.2,3.9,Huawei,6.3,6.0,5.4,4.3,//cdn-files.kimovil.com/phone_front/0001/06/thumb_5882_phone_front_medium.jpeg,Huawei GX8,0
3.4,5.8,Huawei,2.9,2.2,2.9,3.4,//cdn-files.kimovil.com/phone_front/0001/07/thumb_6536_phone_front_medium.jpeg,Huawei GX1s,0
6.6,5.7,Huawei,7.0,7.9,6.4,5.9,//cdn-files.kimovil.com/phone_front/0001/06/thumb_5825_phone_front_medium.jpeg,Huawei Nexus 6P,0
4.6,3.9,Huawei,6.1,4.0,4.6,4.2,//cdn-files.kimovil.com/phone_front/0001/07/thumb_6244_phone_front_medium.jpeg,Huawei Honor 5X,0
