brand,phone_name,phone_image,average_rating,battery_rating,camera_rating,connectivity_rating,design_rating,performance_rating,user_rating,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,platform_os,platform_cpu,memory_card_slot,memory_internal,main_camera_single,main_camera_video,sound_loudspeaker,sound_jack,comms_wlan,comms_bluetooth,comms_gps,comms_radio,comms_usb,features_sensors,battery,battery_talk_time,misc_colors,misc_price,network_3g_bands,network_speed,battery_stand-by
Xiaomi,Xiaomi Mi Max 3,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221682_devicerender_small.jpeg,7.3,8.9,7.4,7.1,6.5,6.7,0,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, July","Available. Released 2018, July",176.2 x 87.4 x 8 mm (6.94 x 3.44 x 0.31 in),221 g (7.80 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.9 inches, 122.9 cm (~79.8% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~350 ppi density)",Android 8.1 (Oreo); MIUI 9.5,Octa-core 1.8 GHz Kryo 260,"microSD, up to 256 GB (uses shared SIM slot)","128 GB, 6 GB RAM or 64 GB, 4 GB RAM",-,"2160p@30fps, 720p/1080p@30fps (gyro-EIS), 720p@120fps","Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,Type-C 1.0 reversible connector,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 5500 mAh battery,-,"Black, Champagne Gold, Blue",230,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",-
Xiaomi,Xiaomi Pocophone F1,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221573_devicerender_small.jpeg,7.3,6.9,7.5,6.7,7.3,8,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, August","Available. Released 2018, August",155.5 x 75.3 x 8.8 mm (6.12 x 2.96 x 0.35 in),182 g (6.42 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.18 inches, 96.2 cm (~82.2% screen-to-body ratio)","1080 x 2246 pixels, 18.7:9 ratio (~403 ppi density)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); MIUI 10.2.3 POCO",Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver),"microSD, up to 256 GB (uses shared SIM slot)","256 GB, 8 GB RAM or 64/128 GB, 6 GB RAM",-,"2160p@30/60fps, 1080p@30fps (gyro-EIS), 1080p@240fps, 720p@960fps","Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS","FM radio, recording","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Infrared face recognition, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,-,"Graphite Black, Steel Blue, Rosso Red, Armored Edition with Kevlar",290,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat16 1024/150 Mbps",-
Xiaomi,Xiaomi Redmi Note 6 Pro,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221637_devicerender_small.jpeg,6.9,6.9,7.3,6.9,6.9,6.5,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, September","Available. Released 2018, October",157.9 x 76.4 x 8.3 mm (6.22 x 3.01 x 0.33 in),182 g (6.42 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm (~81.1% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~403 ppi density)","Android 8.1 (Oreo), planned upgrade to Android 9.0 (Pie); MIUI 9.0",Octa-core 1.8 GHz Kryo 260,"microSD, up to 256 GB (uses shared SIM slot)","64 GB, 4/6 GB RAM or 32 GB, 3 GB RAM",-,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","FM radio, recording","microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,-,"Black, Blue, Rose Gold, Red",190,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE-A",-
Xiaomi,Xiaomi Mi Mix 3,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221703_devicerender_small.jpeg,7.8,5.4,8.1,9.3,8.1,8.1,0,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, October","Available. Released 2018, November",157.9 x 74.7 x 8.5 mm (6.22 x 2.94 x 0.33 in),218 g (7.69 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~85.0% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",Android 9.0 (Pie); MIUI 10,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),No,"256 GB, 8/10 GB RAM or 128 GB, 6/8 GB RAM",-,"2160p@30/60fps, 1080p@30/60fps, 1080p@960fps",Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","5.0, A2DP, aptX HD, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,Type-C 1.0 reversible connector,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3200 mAh battery,-,"Jade Green, Sapphire Blue, Onyx Black, Forbidden City Blue (10 GB only)",560,HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 - Global,"HSPA, LTE",-
Xiaomi,Xiaomi Mi Play,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221754_devicerender_small.jpeg,5.8,4.4,5,6.7,6.7,6.4,0,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, December","Available. Released 2018, December",147.8 x 71.9 x 7.8 mm (5.82 x 2.83 x 0.31 in),150 g (5.29 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.84 inches, 85.1 cm (~80.1% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~432 ppi density)",Android 9.0 (Pie),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"microSD, up to 256 GB (uses shared SIM slot)","64 GB, 4 GB RAM",-,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",-,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3000 mAh battery,-,"Dream Blue, Twilight Gold, Black",170,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",-
Xiaomi,Xiaomi Redmi Note 7,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221750_devicerender_small.jpeg,7.1,6.8,7.3,7.1,7.4,7,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, January","Available. Released 2019, January",159.2 x 75.2 x 8.1 mm (6.27 x 2.96 x 0.32 in),186 g (6.56 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm (~81.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",Android 9.0 (Pie); MIUI 10,Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),"microSD, up to 256 GB (uses shared SIM slot)","64 GB, 4/6 GB RAM or 32 GB, 3 GB RAM",-,"1080p@30/60/120fps, (gyro-EIS)",Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","FM radio, recording","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,-,"Blue, Black, Twilight Gold",150,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/150 Mbps",-
Xiaomi,Xiaomi Redmi Go,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221846_devicerender_small.jpeg,4.9,5,3.8,6.2,5.8,3.9,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, January","Available. Released 2019, February",140.4 x 70.1 x 8.4 mm (5.53 x 2.76 x 0.33 in),137 g (4.83 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.0 cm (~69.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~296 ppi density)",Android 8.1 Oreo (Go edition),Quad-core 1.4 GHz Cortex-A53,"microSD, up to 128 GB (dedicated slot)","8 GB, 1 GB RAM","8 MP, f/2.0, 1.12µm, AF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",Non-removable Li-Ion 3000 mAh battery,-,"Black, Blue",80,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",-
Xiaomi,Xiaomi Mi 9 SE,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221822_devicerender_small.jpeg,7.4,5,8.4,7.6,8.6,7.6,0,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Available. Released 2019, March",147.5 x 70.5 x 7.5 mm (5.81 x 2.78 x 0.30 in),155 g (5.47 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.97 inches, 87.5 cm (~84.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~432 ppi density)",Android 9.0 (Pie); MIUI 10,Octa-core 2.3 GHz,No,"64/128 GB, 6 GB RAM",-,"2160p@30fps, 1080p@30/60/120fps, 720p@960fps",Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO, BDS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3070 mAh battery,-,"Violet, Blue, Gray",300,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE-A",-
Xiaomi,Xiaomi Mi 9,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221843_devicerender_small.jpeg,7.8,5.7,8.1,8,8.7,8.3,0,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Available. Released 2019, March",157.5 x 74.7 x 7.6 mm (6.20 x 2.94 x 0.30 in),173 g (6.10 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~85.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",Android 9.0 (Pie); MIUI 10,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485),No,"64/128 GB, 6/8 GB RAM",-,"2160p@30/60fps, 1080p@30/120/240fps, 1080p@960fps",Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3300 mAh battery,-,"Lavender Violet, Ocean Blue, Piano Black",450,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE-A",-
Xiaomi,Xiaomi Mi Mix 3 5G,//cdn-files.kimovil.com/devicerender/0003/28/thumb_227732_devicerender_small.jpeg,7.8,6.5,8.1,7.8,8,8.4,0,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Coming soon. Exp. release 2019, May",157.9 x 74.7 x 9.4 mm (6.22 x 2.94 x 0.37 in),-,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~85.0% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",Android 9.0 (Pie); MIUI 10,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485),No,"64/128 GB, 6 GB RAM",-,"2160p@30/60fps, 1080p@30/60fps, 1080p@960fps",Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","5.0, A2DP, aptX HD, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,Type-C 1.0 reversible connector,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3800 mAh battery,-,"Sapphire Blue, Onyx Black",600,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G",-
Xiaomi,Xiaomi Redmi Note 7 Pro,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221750_devicerender_small.jpeg,7.3,7,8,6.7,7.4,7.6,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Available. Released 2019, March",159.2 x 75.2 x 8.1 mm (6.27 x 2.96 x 0.32 in),186 g (6.56 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm (~81.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",Android 9.0 (Pie); MIUI 10,Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),"microSD, up to 256 GB (uses shared SIM slot)","128 GB, 6 GB RAM or 64 GB, 4 GB RAM",-,"2160p@30fps, 1080p@30/60/120fps, (gyro-EIS)",Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","FM radio, recording","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,-,"Nebula Red, Neptune Blue, Space Black",200,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps",-
Xiaomi,Xiaomi Redmi 7,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221914_devicerender_small.jpeg,6.3,7,4.9,6.2,6.9,6.5,0,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, March","Available. Released 2019, March",158.7 x 75.6 x 8.5 mm (6.25 x 2.98 x 0.33 in),180 g (6.35 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm (~81.5% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~269 ppi density)",Android 9.0 (Pie); MIUI 9,Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),"microSD, up to 512 GB (dedicated slot)","64 GB, 4 GB RAM or 32 GB, 3 GB RAM or 16 GB, 2 GB RAM","12 MP, f/2.2, 1.25µm, PDAF  2 MP, depth sensor",1080p@30/60fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Po 4000 mAh battery,-,"Black, red, blue",130,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",-
Apple,Apple iPhone 4,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1149_phone_front_medium.jpeg,3.7,9.1,3.2,2.7,2,1.7,0,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2010, June. Released 2010, June",Discontinued,115.2 x 58.6 x 9.3 mm (4.54 x 2.31 x 0.37 in),137 g (4.83 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm (~54.0% screen-to-body ratio)","640 x 960 pixels, 3:2 ratio (~330 ppi density)","iOS 4, upgradable to iOS 7.1.2",1.0 GHz Cortex-A8,No,"8/16/32 GB, 512 MB RAM","5 MP, f/2.8, 1/3.2"", 1.75µm, AF",720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP","Yes, with A-GPS",No,2,"Accelerometer, gyro, proximity, compass",Non-removable Li-Po 1420 mAh battery,Up to 14 h (2G) / Up to 7 h (3G),"Black, White",200,HSDPA 850 / 900 / 1900 / 2100,HSPA 7.2/5.76 Mbps,Up to 300 h (2G) / Up to 300 h (3G)
Samsung,Samsung Galaxy Grand I9082,//cdn-files.kimovil.com/phone_front/0001/01/thumb_970_phone_front_medium.jpeg,2.5,2.7,2.7,3.2,1.9,2,0,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2012, December. Released 2013, January",Discontinued,143.5 x 76.9 x 9.6 mm (5.65 x 3.03 x 0.38 in),162 g (5.71 oz),"Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.0 inches, 71.2 cm (~64.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~187 ppi density)","Android 4.1.2 (Jelly Bean), upgradable to 4.2.2 (Jelly Bean); TouchWiz UI",Dual-core 1.2 GHz Cortex-A9,"microSD, up to 64 GB (dedicated slot)","8 GB, 1 GB RAM","8 MP, f/2.7 AF","1080p@30fps, stereo sound rec.",Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot, DLNA","4.0, A2DP, EDR, LE","Yes, with A-GPS, GLONASS","Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Ion 2100 mAh battery,Up to 10 h 10 min,"Black, White",180,HSDPA 850 / 1900 / 2100 - SIM 1 only,HSPA 21.1/5.76 Mbps,Up to 440 h
Samsung,Samsung Galaxy S4 zoom,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1017_phone_front_medium.jpeg,3.8,3.7,7.3,3.9,1.7,2.2,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - all versions,Yes,Yes,"2013, June","Available. Released 2013, July",125.5 x 63.5 x 15.4 mm (4.94 x 2.5 x 0.61 in),208 g (7.34 oz),Micro-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm (~64.0% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)","Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",Dual-core 1.5 GHz Cortex-A9,"microSD, up to 64 GB (dedicated slot)","8 GB, 1.5 GB RAM","16 MP, 1/2.33"", OIS, 10x optical zoom (24-240mm), AF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS",No,"microUSB 2.0 (MHL TV-out), USB Host","Accelerometer, gyro, proximity, compass",Removable Li-Ion 2330 mAh battery,Up to 13 h (3G),"White, Dynamic Black",280,HSDPA 850 / 900 / 1900 / 2100 - all versions,"HSPA 21.1/5.76 Mbps, LTE Cat3 100/50 Mbps",Up to 570 h (3G)
Samsung,Samsung Galaxy Ace 3,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1005_phone_front_medium.jpeg,1.9,1.8,1.8,1.8,2.1,1.9,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - all versions,Yes,Yes,"2013, June","Available. Released 2013, July",121.2 x 62.7 x 9.8 mm (3G) / 121.2 x 62.7 x 10 mm (LTE),115 g (3G) / 119.5 g (LTE) (4.06 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~59.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.2 (Jelly Bean),Dual-core 1.0 GHz Cortex-A9 (3G) / Dual-core 1.2 GHz Krait (LTE),"microSD, up to 64 GB (dedicated slot)","4 GB (3G) / 8 GB (LTE), 1 GB RAM","5 MP, AF, f/2.6",720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS","Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1500 (3G) / 1800 (LTE) mAh battery,Up to 8 h (3G),"Black, White, Dark Red",130,"HSDPA 900 / 2100 - S7270, S7272","HSPA 42.2(14.4 - 3G)/5.76 Mbps, LTE Cat4 150/50 Mbps",Up to 370 h (3G)
Samsung,Samsung Galaxy Express 2,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1131_phone_front_medium.jpeg,2.8,2.7,1.8,4.6,2.1,2.7,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2013, October","Available. Released 2013, October",132.4 x 65.7 x 9.8 mm (5.21 x 2.59 x 0.39 in),134.2 g (4.73 oz),Micro-SIM,"TFT capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~64.2% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Android 4.2.2 (Jelly Bean),Dual-core 1.7 GHz Krait,"microSD, up to 64 GB (dedicated slot)","8 GB, 1.5 GB RAM","5 MP, AF",Yes,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, EDR","Yes, with A-GPS, GLONASS","Stereo FM radio, RDS, recording",microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Ion 2100 mAh battery,Up to 11 h (3G),"Blue, White",210,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps",Up to 480 h (3G)
Samsung,Samsung Galaxy Grand 2,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1132_phone_front_medium.jpeg,2.7,3.6,2.1,3.3,2.4,2.3,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SM-G7100,Yes,Yes,"2013, November","Available. Released 2014, January",146.8 x 75.3 x 8.9 mm (5.78 x 2.96 x 0.35 in),163 g (5.75 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.25 inches, 76.0 cm (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~280 ppi density)","Android 4.3 (Jelly Bean), upgradable to 4.4.2 (KitKat)",Quad-core 1.2 GHz Cortex-A7,"microSD, up to 64 GB (dedicated slot)","8 GB, 1.5 GB RAM","8 MP, f/2.4, 31mm (standard), AF","1080p@30fps, stereo sound rec.",Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 2600 mAh battery,Up to 17 h (3G),"Black, White, Pink",180,HSDPA 850 / 900 / 1900 / 2100,HSPA 42.2/21/5.76 Mbps (region dependent)/ LTE Cat3 100/50 Mbps (SM-G7105),Up to 370 h (3G)
Samsung,Samsung Galaxy Grand Neo,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1258_phone_front_medium.jpeg,2.2,2.6,1.8,2.7,1.9,1.9,0,GSM / HSPA,"GSM 850 / 900 / 1800 / 1900 - I9060, I9060I",Yes,Yes,"2014, January","Available. Released 2014, February",143.7 x 77.1 x 9.6 mm (5.66 x 3.04 x 0.38 in),163 g (5.75 oz),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.01 inches, 71.4 cm (~64.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~186 ppi density)",Android 4.2 (Jelly Bean)Android 4.4.4 (KitKat) - GT-I9060I,Quad-core 1.2 GHz Cortex-A7,"microSD, up to 64 GB (dedicated slot)","8/16 GB, 1 GB RAM","5 MP, AF, f/2.6",720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 2100 mAh battery,Up to 11 h,"White, Midnight Black, Orange, Lime Green",130,HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,Up to 430 h
Samsung,Samsung Galaxy Core LTE,//cdn-files.kimovil.com/phone_front/0001/01/thumb_988_phone_front_medium.jpeg,2.6,2.6,1.8,4.5,2.1,1.8,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, February","Available. Released 2014, May",132.9 x 66.3 x 9.8 mm (5.23 x 2.61 x 0.39 in),137 g (4.83 oz),Micro-SIM,"PLS capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~63.4% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Android 4.2.2 (Jelly Bean),Dual-core 1.2 GHz,"microSD, up to 64 GB (dedicated slot)","8 GB,  1 GB RAM","5 MP, AF",720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 2100 mAh battery,Up to 11 h (3G),"White, Black",260,HSDPA 850 / 900 / 2100,"HSPA, LTE Cat4 150/50 Mbps",Up to 540 h (3G)
