_id,aspect_ratio,available_status,average_rating,battery,battery_rating,brand,camera_rating,connectivity_rating,cpu,density,design_rating,diagonal,front_camera,main_camera,os,os_version,performance_rating,phone_image,phone_name,phone_price,processor_model,ram,resolution,screen_type,size,storage,usable_surface,user_rating,weight
5eafa66442e02aec58235288,19:09,On Sale,7.8,3100 mAh,5.4,Samsung,8.1,8.8,"2x2,7GHz Exynos M4, 2x Cortex A75, 4x1,9GHz Cortex A55",435 ppi Very high density,8.6,5.8,10 Mpx/1.9,12 Mpx/1.5-2.4,Android 10Q,Android 10,8.2,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430797/Samsung_Galaxy_S10e_ljueye.jpg,Samsung Galaxy S10e,445,Samsung Exynos 9 9820,6 GB RAM,1080 x 2280 px,Super Amoled,69.9 mm  142.2 mm  7.9 mm,128 GB,84%,0,150 g
5eafa66442e02aec58235242,19.5:9,On Sale,7.8,3200 mAh,5.4,Xiaomi,8.2,9.1,4x2.8 GHz Kryo 385 + 4x1.8 GHz Kryo 385,403 ppi Very high density,8.2,6.39,24.8 Mpx/2.2,12 Mpx/1.8,Android 10Q,MIUI V11 (Android 10),8,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430817/Xiaomi_Mi_Mix_3_e6amr1.jpg,Xiaomi Mi Mix 3,422,Qualcomm Snapdragon 845,6 GB RAM,1080 x 2340 px,Amoled,74.7 mm  157.9 mm  8.5 mm,128 GB,85%,0,218 g
5eafa66442e02aec58235248,19.5:9,On Sale,7.8,3300 mAh,5.8,Xiaomi,8.1,8,1x2.84 GHz Kryo 485 + 3x2.4 GHz Kryo 485 + 4x1.8 GHz Kryo 485,403 ppi Very high density,8.8,6.4,24.8 Mpx/2.0,48 Mpx/1.75,Android 10Q,MIUI V11 (Android 10),8.4,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430814/Xiaomi_Mi_9_wo7kka.jpg,Xiaomi Mi 9,379,Qualcomm Snapdragon 855,6 GB RAM,1080 x 2340 px,Amoled,74.7 mm  157.5 mm  7.6 mm,64 GB,86%,0,173 g
5eafa66442e02aec5823527b,16:09,On Sale,3.6,2600 mAh,3.6,Samsung,3.1,4.5,ARM Cortex,220 ppi Medium Density,2.8,5,5 Mpx/--,8 Mpx,Android 7.0Nougat,Android 7.1.1 Nougat,4,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430791/Samsung_Galaxy_J2_2018_c098ly.jpg,Samsung Galaxy J2 (2018),173,Qualcomm Snapdragon 425 MSM8917,1.5 GB RAM,540 x 960 px,Super Amoled,72.3 mm  143.8 mm  8.4 mm,16 GB,66%,0,153 g
5eafa66442e02aec582352be,19:09,On Sale,5.7,3260 mAh,5.3,Vivo,5.6,4.9,ARM Cortex,270 ppi Medium Density,6.9,6.22,8 Mpx/2.2,13 Mpx/2.2,Android 8.0Oreo,Funtouch 4.0 OS (Android 8.1 Oreo),6,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430808/Vivo_Y83_bkc2fe.jpg,Vivo Y83,162,MediaTek Helio P22 MT6762,4 GB RAM,720 x 1520 px,LCD IPS,75.2 mm  155.2 mm  7.7 mm,64 GB,82%,0,150 g
5eafa66442e02aec582351ef,19.5:9,On Sale,6.3,3400 mAh,5.8,Huawei,6,5.6,4x2.2 GHz ARM Cortex,415 ppi Very high density,7.3,6.21,8 Mpx/2.0,24 Mpx/1.8,Android 9.0P,Android 9.0 Pie,7,//res.cloudinary.com/dgly8b9lq/image/upload/v1588541086/enjoy9s_qteuom.jpg,Huawei Enjoy 9s,247,Huawei HiSilicon KIRIN 710,4 GB RAM,1080 x 2340 px,LCD IPS,73.6 mm  154.8 mm  8.0 mm,64 GB,83%,0,164 g
5eafa66442e02aec582351f7,19.5:9,On Sale,6.7,3400 mAh,5.8,Huawei,6.9,6.8,4x2.2 GHz ARM Cortex,415 ppi Very high density,7.2,6.21,32 Mpx/2.0,24.8 Mpx/1.8,Android 10Q,Android 10,6.9,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430810/Huawei_Honor_20_Lite_ly7heh.jpg,Huawei Honor 20 Lite,170,Huawei HiSilicon KIRIN 710,4 GB RAM,1080 x 2340 px,LCD IPS,73.6 mm  154.8 mm  8.0 mm,128 GB,83%,0,164 g
5eafa66442e02aec58235269,5:03,On Sale,2.3,2100 mAh,2.6,Samsung,2.2,2.7,ARM Cortex,187 ppi Low Density,1.9,5,2 Mpx/--,5 Mpx,Android 4.4KitKat,Android 4.4.4 KitKat,2,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430792/Samsung_Galaxy_Grand_Neo_Plus_mg3foa.jpg,Samsung Galaxy Grand Neo Plus,185,Broadcom BCM23550,1 GB RAM,480 x 800 px,LCD IPS,77.1 mm  143.7 mm  9.5 mm,8 GB,64%,0,160 g
5eafa66442e02aec582351b6,16:09,On Sale,6.1,3200 mAh,5.3,Huawei,6.4,6.8,4x 2.4 GHz ARM Cortex,428 ppi Very high density,4.9,5.15,8 Mpx/2.0,12 Mpx/2.2,Android 7.0Nougat,Android 7.0 Nougat,7.2,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430805/Huawei_Honor_9_exifqr.jpg,Huawei Honor 9,169,Huawei HiSilicon KIRIN 960,4 GB RAM,1080 x 1920 px,LCD IPS,70.9 mm  147.3 mm  7.5 mm,64 GB,70%,0,155 g
5eafa66442e02aec58235264,5:03,On Sale,2.1,1500 mAh,1.8,Samsung,1.8,2.9,ARM Cortex,233 ppi Medium Density,2.1,4,0.3 Mpx/--,5 Mpx,Android 4.1Jelly Bean,Android 4.1 Jelly Bean,1.8,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430796/Samsung_Galaxy_S3_Mini_VE_ucfs6w.jpg,Samsung Galaxy S3 Mini VE,235,Broadcom BCM21664,1 GB RAM,480 x 800 px,Super Amoled,63.0 mm  121.6 mm  10.0 mm,8 GB,59%,0,112 g
5eafa66442e02aec58235293,19:09,On Sale,8.5,4300 mAh,7.8,Samsung,8.1,8.6,2x2.73 GHz Exynos M4 + 2x2.4 GHz ARM Cortex,495 ppi Very high density,9.3,6.8,10 Mpx/2.2,12 Mpx/1.5-2.4,Android 10Q,Android 10,8.8,//res.cloudinary.com/dgly8b9lq/image/upload/v1588542058/note10_hlxwdw.jpg,Samsung Galaxy Note10+,903,Samsung Exynos 9 9825,12 GB RAM,1440 x 3040 px,Super Amoled,77.2 mm  162.3 mm  7.9 mm,256 GB,91%,0,196 g
5eafa66442e02aec582351b5,16:09,On Sale,5.1,4000 mAh,6.6,Huawei,4.2,5.3,8x1.4GHz ARM Cortex A53,267 ppi Medium Density,4.2,5.5,8 Mpx/--,12 Mpx/2.2,Android 7.0Nougat,Android 7.0 Nougat,5,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430769/Huawei_Y7_Prime_ivf75m.jpg,Huawei Y7 Prime,135,Qualcomm Snapdragon 435 MSM8940,3 GB RAM,720 x 1280 px,LCD IPS,76.4 mm  153.6 mm  8.4 mm,32 GB,71%,0,165 g
5eafa66442e02aec5823525e,19.5:9,On Sale,8.9,4780 mAh,8.3,Xiaomi,9.3,8.5,Kryo 585 1x Cortex,386 ppi High Density,9.1,6.67,20 Mpx/2.3,108 Mpx/1.69,Android 10Q,MIUI V11 (Android 10),9.1,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430815/Xiaomi_Mi_10_qwfrrt.jpg,Xiaomi Mi 10,690,Qualcomm Snapdragon 865,8 GB RAM,1080 x 2340 px,Super Amoled,74.8 mm  162.6 mm  9.0 mm,128 GB,89%,0,208 g
5eafa66442e02aec58235265,16:09,On Sale,3.8,2100 mAh,2.5,Samsung,2.5,5.5,ARM Cortex,326 ppi High Density,5.7,4.5,2.1 Mpx/--,8 Mpx,Android 4.4KitKat,Android 4.4.2 KitKat,2.7,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430796/Samsung_Galaxy_S5_Mini_vwgjwi.jpg,Samsung Galaxy S5 Mini,311,Samsung Exynos 3 3470,1.5 GB RAM,720 x 1280 px,Super Amoled,64.8 mm  131.1 mm  9.0 mm,16 GB,65%,0,120 g
5eafa66442e02aec582352c1,18:09,On Sale,5.1,3225 mAh,5.4,Vivo,4.6,5.2,ARM Cortex,269 ppi Medium Density,4.8,5.99,16 Mpx/--,13 Mpx/2.0,Android 7.0Nougat,Funtouch 3.0 OS (Android 7.1.2 Nougat),5.6,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430808/Vivo_Y75s_ygz224.jpg,Vivo Y75s,248,Qualcomm Snapdragon 450,4 GB RAM,720 x 1440 px,LCD IPS,75.7 mm  155.9 mm  7.7 mm,64 GB,78%,0,160 g
5eafa66442e02aec5823519c,16:09,On Sale,4.1,4000 mAh,7.3,Huawei,4.3,2.8,ARM Cortex,294 ppi Medium Density,2.6,5,4.9 Mpx/--,13 Mpx/2.0,Android 5.0Lollipop,Android 5.1 Lollipop,3.6,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430769/Huawei_Y6s_lqowhz.jpg,Huawei Y6,200,MediaTek MT6735,2 GB RAM,720 x 1280 px,LCD IPS,71.8 mm  143.1 mm  9.7 mm,16 GB,67%,0,160 g
5eafa66442e02aec5823525a,19.5:9,On Sale,7.3,4000 mAh,7.1,Xiaomi,7.6,7.8,4x2.0 GHz Kryo 260 + 4x 1.7 GHz Kryo 260,409 ppi Very high density,6.7,6.3,13 Mpx/2.0,48 Mpx/1.79,Android 9.0P,MIUI V10 (Android 9 Pie),7.1,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430823/Xiaomi_redmi_Note_8T_u2yeri.jpg,Xiaomi redmi Note 8T,149,Qualcomm Snapdragon 665,4 GB RAM,1080 x 2340 px,LTPS LCD,75.4 mm  161.2 mm  8.6 mm,64 GB,80%,0,199 g
5eafa66442e02aec582352c9,18:09,On Sale,5.1,3360 mAh,5.7,Vivo,3.8,4.4,4x1.95 GHz ARM Cortex,269 ppi Medium Density,5.3,5.99,5 Mpx/2.2,13 Mpx/2.2,Android 8.0Oreo,Funtouch 4.5 OS (Android 8.1 Oreo),6.1,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430808/Vivo_Y73_rmjp4q.jpg,Vivo Y73,205,Qualcomm Snapdragon 439,3 GB RAM,720 x 1440 px,LCD IPS,75.7 mm  155.9 mm  7.8 mm,32 GB,78%,0,150 g
